GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "97000" ,"Rocky Mountain",7,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",149613164,152192884,157320304,158617228,161927068,165158092,166736628,173665152,178680292,183407576,187177400,189200920,192421576,192387704,191748804,191720956,192302604,193304552,194414572,196055132,195332848,197830752,202065140,202623356,205373804,210123304,212951536,216130612,219824668,222603016,227752140,230483816,238561968,240629232,245588620,249954800,255030788,259615560,260532144,266794584,268032172,269629032,270952148,268272664,262246760,260227980,260247692,260007668,260817816,262224968,265192056,268627208,271542136,273088244,276547784,275903888,282551688,285598344,287007060,296445472,295600180,299561016,301547536,304999036,313182076,315030432,317972400,325353952,329645512,332728572,335068420,337564180,340165916,342648348,347173888,352491088,358135144,362347928,368492380,372414312,378617882,383139650
 "97000" ,"Rocky Mountain",7,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",123626912,125725812,130040640,131147136,133972400,136624120,137881864,143702976,147989760,151787904,154934432,156336188,158795824,158530640,157660204,157470216,157704572,158521640,159220444,160157840,159078856,160981332,164399216,164932060,166737060,170786532,173173656,175580960,178241372,180449812,184744764,186952128,193953724,195537964,199571500,203501844,208204788,211994760,212655440,217947528,218998108,220205692,221184400,218783552,212685404,210998200,210878392,210827264,210760720,212358376,215084440,218183120,220429436,221879528,225058044,224336808,230566208,232998072,233942028,241839356,240157168,242818476,243993408,246934508,254363808,256029608,258718312,265208908,269030804,271720152,273608020,275621228,277468980,279367456,283098296,287564644,292382008,295891600,301105988,304400560,309761423,313642950
 "97000" ,"Rocky Mountain",7,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",25986252,26467072,27279664,27470092,27954668,28533972,28854764,29962176,30690532,31619672,32242968,32864732,33625752,33857064,34088600,34250740,34598032,34782912,35194128,35897292,36253992,36849420,37665924,37691296,38636744,39336772,39777880,40549652,41583296,42153204,43007376,43531688,44608244,45091268,46017120,46452956,46826000,47620800,47876704,48847056,49034064,49423340,49767748,49489112,49561356,49229780,49369300,49180404,50057096,49866592,50107616,50444088,51112700,51208716,51489740,51567080,51985480,52600272,53065032,54606116,55443012,56742540,57554128,58064528,58818268,59000824,59254088,60145044,60614708,61008420,61460400,61942952,62696936,63280892,64075592,64926444,65753136,66456328,67386392,68013752,68856459,69496700
 "97000" ,"Rocky Mountain",7,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",16745584,17094156,17622068,17775936,18104884,18539708,18805584,19553788,19990432,20689404,21101116,21592488,22172092,22369276,22562416,22580068,22696420,22673444,22959112,23580168,23907684,24366464,24928348,24878828,25436576,25810300,26046540,26619548,27354556,27752512,28230864,28526392,29065988,29407132,30061320,30250272,30413572,31021712,31255068,31822636,31935492,32238904,32506100,32416964,32939732,32752712,32953548,32849112,33388440,33152220,33262848,33414784,33365280,33347192,33360612,33524372,33435916,33911416,34409312,35444516,36488056,37567660,38283836,38526304,38731964,38781040,38819812,39250432,39620176,39848308,40187072,40537012,41277248,41707028,42239780,42773044,43243060,43706600,44231624,44621824,45038093,45411379
 "97000" ,"Rocky Mountain",7,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",9240668,9372916,9657596,9694156,9849784,9994264,10049180,10408388,10700100,10930268,11141852,11272244,11453660,11487788,11526184,11670672,11901612,12109468,12235016,12317124,12346308,12482956,12737576,12812468,13200168,13526472,13731340,13930104,14228740,14400692,14776512,15005296,15542256,15684136,15955800,16202684,16412428,16599088,16621636,17024420,17098572,17184436,17261648,17072148,16621624,16477068,16415752,16331292,16668656,16714372,16844768,17029304,17747420,17861524,18129128,18042708,18549564,18688856,18655720,19161600,18954956,19174880,19270292,19538224,20086304,20219784,20434276,20894612,20994532,21160112,21273328,21405940,21419688,21573864,21835812,22153400,22510076,22749728,23154768,23391928,23818366,24085321
 "97000" ,"Rocky Mountain",7,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",1023940,1014528,1007724,1009428,1014544,1020272,1037752,1060576,1103804,1138152,1167936,1191736,1168304,1188368,1195956,1190728,1348228,1331176,1319756,1312940,1172032,1179668,1198080,1227356,1266920,1293812,1306576,1305704,1476704,1460156,1444108,1428336,1377120,1387032,1420844,1479348,1602848,1668520,1714620,1739304,1610172,1608336,1601796,1591344,1768864,1753996,1742716,1733644,1601148,1577728,1539688,1487152,1501700,1487144,1526876,1622312,1716632,1816596,1871436,1880836,2058820,2040436,2041504,2060248,2032928,2045852,2034536,1998484,1702660,1674528,1671720,1693708,1891648,1932188,1963360,1986148,2006468,2022836,2041176,2062548,2078758,2093182
 "97000" ,"Rocky Mountain",7,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",148589224,151178356,156312580,157607800,160912524,164137820,165698876,172604576,177576488,182269424,186009464,188009184,191253272,191199336,190552848,190530228,190954376,191973376,193094816,194742192,194160816,196651084,200867060,201396000,204106884,208829492,211644960,214824908,218347964,221142860,226308032,229055480,237184848,239242200,244167776,248475452,253427940,257947040,258817524,265055280,266422000,268020696,269350352,266681320,260477896,258473984,258504976,258274024,259216668,260647240,263652368,267140056,270040436,271601100,275020908,274281576,280835056,283781748,285135624,294564636,293541360,297520580,299506032,302938788,311149148,312984580,315937864,323355468,327942852,331054044,333396700,335870472,338274268,340716160,345210528,350504940,356128676,360325092,366451204,370351764,376539124,381046468
 "97000" ,"Rocky Mountain",7,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",118698236,120806744,125606988,126545048,129277156,131889560,133417164,139264100,143702200,147846452,151186544,152646012,155372980,154484540,152766416,152196128,151891268,152283988,152911444,154074168,152853704,154591920,158397400,158751420,160548980,164794304,167080484,169820736,172157012,174725268,179815980,181747400,189564008,190949408,194917068,198836188,203420224,207182356,207516900,212677004,213304800,214474132,214708696,211491592,204848424,202066928,201680828,201597752,201104228,202150656,205521816,209262744,211359384,212552328,216464588,215328716,221831024,224634788,225545996,235015744,233211712,236771204,238402400,241377256,248968480,249962576,252482656,259391248,262850068,265666580,267154796,269778036,270904940,273211156,277064640,281514632,286660512,290075284,295875832,298907276,305058493,308956778
 "97000" ,"Rocky Mountain",7,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",422432,421516,429676,421720,440880,434708,432748,427412,396308,370096,438484,564988,441436,422152,420804,430988,441672,446596,446836,471996,447816,446780,462536,481728,502688,532436,516656,515524,517184,511364,502596,514920,554024,568740,568208,568568,550904,589000,600176,567840,559968,558856,587364,610932,569268,585248,610252,615496,623248,632948,590996,622612,643944,608864,650044,696032,668608,687184,731188,714680,741696,745900,722932,746424,785836,791956,800612,822700,837136,850756,892788,868600,882240,904468,883780,911448,(D),(D),(D),(D),(D),(D)
 "97000" ,"Rocky Mountain",7,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",2635744,2594044,2562348,2447000,2473192,2542616,2457436,2829452,2635072,2634036,2659160,3016520,2966588,3136604,3553908,3056096,3005148,2877560,2877916,2898388,2854088,2986092,3128004,3349528,3368320,3846664,4014508,4020028,4085828,4199084,4711584,4738768,5148996,5642292,5856556,6138796,6130668,6492964,6540624,6898812,7224324,7843188,7756972,8036336,6913572,6248520,6152360,6054088,6558216,6639760,6831900,7107348,7690372,7554276,8056068,8190500,8518340,8763228,8665472,8720832,8713160,8773012,8884328,9072880,9589540,9412952,9559352,9640100,9531036,8759740,8295308,7804984,7212804,6788704,6727672,6888516,7013248,7505576,7715352,7688980,8058641,8439743
