GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "49000" ,"Utah",7,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",34050668,34695632,35335104,36058500,36285268,36971128,37643804,38325932,39405676,40014924,40285820,40757368,41588440,41804616,42086716,42264972,42800164,42551960,42798440,43043908,43198180,43767144,44380380,45168232,45906976,47142840,48025612,48531208,49236104,50128852,51610120,53028524,54533340,55595452,56843856,58583440,59807448,61329556,61343568,62499204,62629748,63273176,63497920,62857372,61381984,61321860,60758384,60547264,60891052,61095104,62018812,63124876,64213308,64888064,65749520,65653460,67280152,67876156,67945832,70542148,70774664,71960228,72526916,72500812,74818712,74767296,75213584,76841348,78350308,79637832,80542236,81787944,83226996,84141020,85533252,87267872,88181368,88864788,91025248,91977680,94788886,95646429
 "49000" ,"Utah",7,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",28026064,28531624,29063380,29636816,29818092,30332424,30914120,31464852,32431032,32911996,33099256,33457008,34070296,34196588,34346944,34452364,34865940,34680152,34846496,34972816,34982136,35400436,35863208,36485056,36919356,37916760,38624328,38976160,39492052,40192112,41354288,42442668,43636476,44384504,45382836,46875008,48048256,49296752,49266936,50188344,50256480,50761212,50935952,50414492,49035384,49084016,48695884,48638612,48831332,49084712,49853032,50648340,51251460,51688952,52443868,52402704,54104344,54698560,54720748,56816304,56633604,57374884,57656676,57732376,59903728,59958328,60463152,61938880,63250440,64320452,65007676,65940372,66921188,67570088,68627260,70033708,70818252,71366040,73165648,73932572,76319496,77041200
 "49000" ,"Utah",7,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",6024604,6164008,6271724,6421684,6467176,6638704,6729684,6861080,6974644,7102928,7186564,7300360,7518144,7608028,7739772,7812608,7934224,7871808,7951944,8071092,8216044,8366708,8517172,8683176,8987620,9226080,9401284,9555048,9744052,9936740,10255832,10585856,10896864,11210948,11461020,11708432,11759192,12032804,12076632,12310860,12373268,12511964,12561968,12442880,12346600,12237844,12062500,11908652,12059720,12010392,12165780,12476536,12961848,13199112,13305652,13250756,13175808,13177596,13225084,13725844,14141060,14585344,14870240,14768436,14914984,14808968,14750432,14902468,15099868,15317380,15534560,15847572,16305808,16570932,16905992,17234164,17363116,17498748,17859600,18045108,18469390,18605229
 "49000" ,"Utah",7,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3822120,3928376,4001956,4121532,4165872,4309632,4363356,4464380,4510776,4598640,4660972,4735988,4893636,4961300,5073380,5131184,5221624,5162712,5221276,5315628,5412160,5512580,5614232,5724516,5941120,6096152,6208120,6325184,6441896,6572312,6796572,7041396,7271264,7545640,7736352,7895036,7903212,8112376,8170608,8333780,8390064,8489956,8524904,8450640,8458808,8360364,8243000,8133620,8225836,8193268,8310724,8554928,8837136,9025728,9058384,9023124,8823432,8794096,8853944,9177272,9599152,9952616,10196304,10083304,10084196,9993108,9915680,9979556,10143820,10301992,10492116,10743416,11156288,11365216,11611164,11821072,11864040,11942308,12149796,12269720,12513684,12595711
 "49000" ,"Utah",7,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",2202484,2235632,2269768,2300152,2301304,2329072,2366328,2396700,2463868,2504288,2525592,2564372,2624508,2646728,2666392,2681424,2712600,2709096,2730668,2755464,2803884,2854128,2902940,2958660,3046500,3129928,3193164,3229864,3302156,3364428,3459260,3544460,3625600,3665308,3724668,3813396,3855980,3920428,3906024,3977080,3983204,4022008,4037064,3992240,3887792,3877480,3819500,3775032,3833884,3817124,3855056,3921608,4124712,4173384,4247268,4227632,4352376,4383500,4371140,4548572,4541908,4632728,4673936,4685132,4830788,4815860,4834752,4922912,4956048,5015388,5042444,5104156,5149520,5205716,5294828,5413092,5499076,5556440,5709804,5775388,5955706,6009518
 "49000" ,"Utah",7,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",105592,104744,104156,104416,105248,105876,107824,110400,114992,118828,122252,125076,123560,125788,126628,126052,143936,142084,140892,140268,126860,127820,129892,133076,138984,141948,143432,143448,164340,162624,160852,159036,154976,155960,159628,166072,181876,189376,194844,198056,183892,184012,183396,182148,202176,200104,198344,196736,181092,178000,173408,167316,168872,167200,171640,182340,187052,198108,204384,205844,225932,224276,224472,226372,218044,218976,217276,212928,184960,181712,181488,184216,206436,211400,215172,217860,220056,221836,223824,226168,227953,229537
 "49000" ,"Utah",7,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",33945076,34590888,35230948,35954084,36180020,36865252,37535980,38215532,39290684,39896096,40163568,40632292,41464880,41678828,41960088,42138920,42656228,42409876,42657548,42903640,43071320,43639324,44250488,45035156,45767992,47000892,47882180,48387760,49071764,49966228,51449268,52869488,54378364,55439492,56684228,58417368,59625572,61140180,61148724,62301148,62445856,63089164,63314524,62675224,61179808,61121756,60560040,60350528,60709960,60917104,61845404,62957560,64044436,64720864,65577880,65471120,67093100,67678048,67741448,70336304,70548732,71735952,72302444,72274440,74600668,74548320,74996308,76628420,78165348,79456120,80360748,81603728,83020560,83929620,85318080,87050012,87961312,88642952,90801424,91751512,94560933,95416892
 "49000" ,"Utah",7,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",27123324,27538544,28225304,28673236,28957368,29330760,30086336,30474608,31378548,31978320,31979036,32405752,33156676,33201548,33139608,33195084,33532204,33205756,33358760,33610636,33523440,33948812,34506076,35225488,35648496,36811012,37514184,37829444,38397556,39247108,40462928,41745824,43259064,43933360,45124676,46780980,47888652,49223100,49027580,49863756,49952848,50633640,50654968,49810756,48219796,47926988,47495096,47314924,47256284,47233248,48294300,49312760,50185700,50670460,51731236,51539972,53241856,53857196,53830544,56542472,56623392,57777588,58075752,58152096,60223768,59934584,60336428,61944684,63277704,64558240,65238088,66491376,67538252,68530820,69621148,71125220,71996720,72438276,74460516,75050444,77888605,78589636
 "49000" ,"Utah",7,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",39076,38088,42064,32256,40740,40660,38200,38344,31256,30960,37696,53584,26856,25068,24304,37796,20980,26900,23288,31968,30900,25428,27704,21864,25668,33620,30360,26152,28056,28292,31704,31584,34812,34632,38764,39652,41840,43128,43896,43656,41304,44328,40860,46276,40984,44564,44956,47896,42640,45196,45000,46964,47352,43884,49516,50512,50376,50328,51140,51752,56408,55364,55064,54612,57772,63780,62116,61412,59232,58924,67304,68108,73128,68000,68564,71252,70588,71264,71360,73868,75823,76213
 "49000" ,"Utah",7,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",412956,395556,391900,385804,372796,385100,363776,383540,407436,390504,442860,403372,430472,427832,463156,435164,390532,396148,399308,404968,395688,402120,407452,420660,454292,477160,468912,490044,516932,529404,611464,644052,694580,744216,798536,837280,819108,962872,884236,892220,923668,1042612,1081488,1096348,955200,826200,804164,800312,842948,828608,855928,928076,968956,982964,1041480,1032132,1127472,1158528,1145140,1144488,1169500,1158964,1131912,1089124,1133564,1135444,1148168,1155332,1082380,974852,957352,964436,910236,824516,839320,804900,797572,835408,868520,848064,866985,885724
 "49000" ,"Utah",7,SQINC6N,300,"22","   Utilities","Thousands of dollars",326352,313368,308560,298940,291596,295324,303080,319012,342936,297448,302280,297108,541088,392332,377840,319104,718348,370152,353552,322224,302336,353320,347896,337468,347896,379948,357200,334440,359388,372852,431404,347304,439400,460644,431412,463224,427356,441616,471432,451532,467656,455864,474288,472156,482436,465044,471100,445788,498324,463788,472504,479968,512096,490860,514856,446628,464608,464140,466312,458536,474040,482396,490916,488208,487956,477840,481332,489180,497060,497692,508584,485372,519376,529192,544104,491716,573812,526992,507824,532972,542497,550137
 "49000" ,"Utah",7,SQINC6N,400,"23","   Construction","Thousands of dollars",2243136,2338420,2442240,2456064,2551860,2594652,2665016,2763120,2822856,2808868,2723876,2687160,2759540,2739160,2717644,2646096,2583996,2561884,2558956,2692032,2619296,2587340,2616100,2643692,2736964,2878532,3006484,2939184,3172148,3276424,3478864,3556868,3980740,4157288,4293940,4566436,4909176,4923884,4822168,4842412,4706160,4553688,4372592,4221336,3849344,3640064,3585380,3452464,3452696,3350760,3434376,3583640,3506028,3476584,3658008,3549204,3813296,3824420,3770768,3993216,3957108,4048892,4172068,4111116,4370224,4398160,4504568,4647676,4843848,4894120,4957720,5150588,5390092,5384588,5525552,5570764,5750532,5884820,6039836,6208684,6585768,6742985
 "49000" ,"Utah",7,SQINC6N,500,"31-33","   Manufacturing","Thousands of dollars",4983192,4946248,4978532,5023656,4965248,5046860,5063984,5170156,5227648,5391936,5299580,5400900,5566260,5546332,5445192,5445020,5188232,5224508,5267308,5255728,5349664,5396264,5470768,5718500,5576628,5827332,5929488,6036396,5968208,6127624,6210536,6281444,6598560,6558096,6774468,6889156,7168552,7282996,7355672,7498252,7591424,7648204,7672736,7658796,7131800,7042064,6901492,7036920,6845324,6996036,7154160,7301652,7239348,7300040,7572032,7485884,7563920,7729824,7673616,7924116,7957896,8117732,8084964,8020344,8224764,8301772,8259496,8469480,8664284,8754760,8864376,8900472,9043976,8986668,9257428,9305588,9550196,9505016,9791784,9818376,9978038,10123449
 "49000" ,"Utah",7,SQINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",3680360,3626028,3639044,3647988,3592944,3664852,3683932,3774768,3794488,3966560,3854124,3930228,4073748,4044928,3961124,3948096,3675788,3729260,3742984,3709940,3780760,3804852,3843976,4068272,3922096,4106620,4190696,4281176,4223920,4372532,4425012,4453436,4666832,4655004,4833940,4937080,5189728,5248988,5319240,5393460,5431188,5492684,5483556,5502516,5042808,4927452,4855004,4937304,4747532,4869632,4962048,5074736,5028324,5098352,5341884,5273980,5301560,5450652,5364616,5492240,5541020,5645948,5560976,5530820,5638220,5709568,5731344,5844168,6010956,6075904,6179008,6175852,6191296,6207824,6408536,6443688,6677888,6617604,6853772,6859396,7007168,7144569
 "49000" ,"Utah",7,SQINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",1302832,1320220,1339488,1375668,1372304,1382008,1380052,1395388,1433160,1425376,1445456,1470672,1492512,1501404,1484068,1496924,1512444,1495248,1524324,1545788,1568904,1591412,1626792,1650228,1654532,1720712,1738792,1755220,1744288,1755092,1785524,1828008,1931728,1903092,1940528,1952076,1978824,2034008,2036432,2104792,2160236,2155520,2189180,2156280,2088992,2114612,2046488,2099616,2097792,2126404,2192112,2226916,2211024,2201688,2230148,2211904,2262360,2279172,2309000,2431876,2416876,2471784,2523988,2489524,2586544,2592204,2528152,2625312,2653328,2678856,2685368,2724620,2852680,2778844,2848892,2861900,2872308,2887412,2938012,2958980,2970870,2978880
