GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "50000" ,"Vermont",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",9238620,9377404,9573772,9679536,9796428,10005460,10256788,10441384,10710804,10972956,10908288,11136204,11484244,11559828,11557384,11607224,11805248,11854496,11945332,12126180,12117568,12286652,12399084,12934420,12687280,13204348,13372616,13274552,13600452,13560732,13667392,13738416,14141356,13965644,14071248,14171648,14460168,14650532,14777996,14871908,15283980,15163764,15221588,15302576,14775428,14780728,14851532,14965396,14784960,15079536,15330416,15234228,15605492,15734528,15797604,15913444,16045200,16273660,16164332,16330148,16721244,16862776,16708548,16804040,16920660,16930556,17083856,17453248,17524332,17720340,17895972,18086812,18200708,18227428,18409192,18460952,18781236,18794324,18964236,18976344,19236003,19428460
 "50000" ,"Vermont",1,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",7574368,7682144,7834292,7911376,7994828,8153932,8346400,8494088,8724220,8928092,8873112,9046440,9322172,9367344,9339952,9356648,9490440,9514584,9564208,9674108,9634488,9756120,9843712,10265340,10038972,10451012,10571964,10470880,10670920,10642644,10749968,10833352,11245908,11127052,11220428,11305768,11529500,11645832,11712216,11782356,12094844,11994316,12053188,12140132,11699208,11746516,11830060,11946548,11766708,12026668,12205288,12085812,12281672,12331980,12387004,12463936,12645844,12854640,12764376,12900156,13159796,13246840,13126392,13262360,13462612,13513748,13654068,13936004,13934920,14042724,14165080,14279184,14350128,14365740,14496328,14538624,14776748,14776744,14909212,14921440,15139006,15303077
 "50000" ,"Vermont",1,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1664252,1695260,1739480,1768160,1801600,1851528,1910388,1947296,1986584,2044864,2035176,2089764,2162072,2192484,2217432,2250576,2314808,2339912,2381124,2452072,2483080,2530532,2555372,2669080,2648308,2753336,2800652,2803672,2929532,2918088,2917424,2905064,2895448,2838592,2850820,2865880,2930668,3004700,3065780,3089552,3189136,3169448,3168400,3162444,3076220,3034212,3021472,3018848,3018252,3052868,3125128,3148416,3323820,3402548,3410600,3449508,3399356,3419020,3399956,3429992,3561448,3615936,3582156,3541680,3458048,3416808,3429788,3517244,3589412,3677616,3730892,3807628,3850580,3861688,3912864,3922328,4004488,4017580,4055024,4054904,4096997,4125383
 "50000" ,"Vermont",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1069404,1093288,1126592,1150572,1178804,1218084,1264076,1291536,1314236,1357964,1351020,1390552,1440008,1467736,1496296,1530868,1588444,1616332,1655304,1718408,1742668,1779176,1799416,1886352,1875512,1953760,1994848,2004372,2107152,2096324,2086620,2067496,2033856,1984260,1988392,1994104,2041724,2104300,2155696,2170076,2248380,2233328,2223844,2207120,2149012,2099236,2081128,2071664,2067404,2087980,2152296,2187120,2317568,2389184,2386904,2413712,2336952,2334364,2321292,2340476,2456040,2501424,2478192,2425440,2327724,2281552,2278412,2336800,2413168,2484116,2525064,2592676,2640452,2649588,2689356,2692072,2751664,2759992,2783952,2781884,2805508,2821594
 "50000" ,"Vermont",1,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",594848,601972,612888,617588,622796,633444,646312,655760,672348,686900,684156,699212,722064,724748,721136,719708,726364,723580,725820,733664,740412,751356,755956,782728,772796,799576,805804,799300,822380,821764,830804,837568,861592,854332,862428,871776,888944,900400,910084,919476,940756,936120,944556,955324,927208,934976,940344,947184,950848,964888,972832,961296,1006252,1013364,1023696,1035796,1062404,1084656,1078664,1089516,1105408,1114512,1103964,1116240,1130324,1135256,1151376,1180444,1176244,1193500,1205828,1214952,1210128,1212100,1223508,1230256,1252824,1257588,1271072,1273020,1291489,1303789
 "50000" ,"Vermont",1,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",55140,55612,55356,54664,52752,51568,52072,53864,58048,61536,64592,66896,67064,68328,68968,68956,88612,87660,86768,85908,77588,77592,78456,80188,74520,76308,77528,78228,62696,62436,61804,60844,67196,67216,68604,71432,77308,80692,83036,84216,77864,77912,77888,77892,74860,74588,74152,73468,73140,71648,69744,67384,59044,58600,60208,64008,89572,94668,97452,97820,97832,96860,96808,97476,102960,103760,103688,102720,87388,86480,86392,87108,95420,96736,97888,98964,90444,91364,92304,93336,94056,94701
 "50000" ,"Vermont",1,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",9183480,9321792,9518416,9624872,9743676,9953892,10204716,10387520,10652756,10911420,10843696,11069308,11417180,11491500,11488416,11538268,11716636,11766836,11858564,12040272,12039980,12209060,12320628,12854232,12612760,13128040,13295088,13196324,13537756,13498296,13605588,13677572,14074160,13898428,14002644,14100216,14382860,14569840,14694960,14787692,15206116,15085852,15143700,15224684,14700568,14706140,14777380,14891928,14711820,15007888,15260672,15166844,15546448,15675928,15737396,15849436,15955628,16178992,16066880,16232328,16623412,16765916,16611740,16706564,16817700,16826796,16980168,17350528,17436944,17633860,17809580,17999704,18105288,18130692,18311304,18361988,18690792,18702960,18871932,18883008,19141947,19333759
 "50000" ,"Vermont",1,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",7509352,7618620,7764212,7848080,7951800,8149720,8332272,8493488,8725380,8938540,8907912,9058924,9339288,9372956,9307736,9320136,9468812,9484264,9558708,9655984,9604644,9711056,9834132,10232248,10005572,10411308,10518668,10456808,10651012,10687800,10781904,10783712,11131128,10942960,10980076,11091472,11334780,11502300,11573792,11715396,11992736,11904772,11916792,11935680,11449800,11394332,11476268,11567824,11367860,11641536,11865648,11799288,12046748,12106436,12252812,12329968,12479136,12731628,12624596,12722372,13013748,13108424,12940128,13036744,13170596,13138752,13314232,13600240,13650824,13723256,14015516,14076748,14136712,14268044,14332644,14468304,14666824,14699132,14806724,14833592,15065788,15245864
 "50000" ,"Vermont",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",19500,19712,20156,20608,20280,20824,21164,20836,20144,17184,23160,27196,22272,21916,21944,21744,22956,22440,23832,21892,22688,22272,23116,24604,24712,25932,25500,25976,23720,24620,24864,24656,26196,26288,26708,27788,25744,27700,27420,27572,27724,29612,28304,30524,31580,32440,32484,33148,31768,32876,33976,31476,32056,32700,34600,37432,32548,34428,33856,33272,33864,33852,34000,33932,37024,36640,36720,38128,36616,36712,41592,39924,38232,39812,37656,40676,38804,39700,39528,38296,39853,41094
 "50000" ,"Vermont",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",29836,30928,33168,33432,37388,35808,34172,35280,35812,35264,36148,36440,41244,41504,40896,42032,40244,40180,38996,37772,37976,38588,40248,43204,38244,38016,39704,38672,35976,35264,36280,35632,50084,51780,51648,53564,53524,53428,53648,53804,52268,48408,49924,47980,44180,46060,42384,42244,39680,40048,40304,41716,38384,40376,42536,41484,39852,46600,42816,43152,43960,43232,41824,41440,41772,41688,41332,41284,42736,45232,47768,49932,48068,45304,50944,48940,47312,47712,47864,47940,48883,51116
