GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "06000" ,"California",8,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",505751804,509465580,521080448,534072636,546678072,556634296,567642048,591544404,621890108,627598860,655532808,648798876,659699224,649770412,642329380,640402184,640984584,645816464,647075060,650105748,650397044,661953992,672256508,679623440,687694028,700782432,713766584,720669724,725338904,734000436,750498268,760226604,786281748,781834944,791299448,806384972,826182260,832237288,834075380,846134736,843883428,847673352,848464176,832461432,802888952,801238784,794648988,796872848,798130296,810182264,813555576,832909372,846441544,844827832,853651416,845114776,884066928,889682748,895504988,943580528,914548096,929004508,933240052,958787976,974619208,978516268,998627112,1015365376,1046159604,1066063512,1073760576,1082626732,1096008176,1107123720,1120680156,1139117860,1158473712,1177951680,1195396812,1218080532,1229696860,1243161048
 "06000" ,"California",8,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",3703652,3761480,3852776,3960824,4142944,4272284,4363760,4407884,4405544,4405568,4389808,4384648,4321140,4374956,4409188,4424816,4130504,4113160,4083908,4040060,4013236,4004016,4039932,4122780,4303144,4400972,4463376,4490388,4870072,4843760,4799240,4734476,4579152,4585128,4674768,4852096,4168208,4311864,4384900,4387312,4680280,4636332,4623156,4640728,5031148,5053796,5047200,5012272,5292696,5195828,5070704,4917312,4125532,4110600,4238944,4511428,4669476,4938612,5080264,5097772,5541208,5475492,5467168,5514372,5153480,5183196,5147528,5046480,5204952,5114412,5112600,5197684,4970460,5078588,5134724,5140604,6236356,6212764,6222016,6263044,6315364,6361530
 "06000" ,"California",8,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",502048152,505704100,517227672,530111812,542535128,552362012,563278288,587136520,617484564,623193292,651143000,644414228,655378084,645395456,637920192,635977368,636854080,641703304,642991152,646065688,646383808,657949976,668216576,675500660,683390884,696381460,709303208,716179336,720468832,729156676,745699028,755492128,781702596,777249816,786624680,801532876,822014052,827925424,829690480,841747424,839203148,843037020,843841020,827820704,797857804,796184988,789601788,791860576,792837600,804986436,808484872,827992060,842316012,840717232,849412472,840603348,879397452,884744136,890424724,938482756,909006888,923529016,927772884,953273604,969465728,973333072,993479584,1010318896,1040954652,1060949100,1068647976,1077429048,1091037716,1102045132,1115545432,1133977256,1152237356,1171738916,1189174796,1211817488,1223381496,1236799518
 "06000" ,"California",8,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",416786304,419680680,429528156,441493600,452961476,461598320,471443540,493327972,520436456,524048652,549925328,543534288,550188180,538462216,529504684,525161472,524981996,527883168,527222652,529077756,528566020,539179784,548749876,554693136,562029832,574214164,585964768,592145996,594557932,603319184,617683940,627644380,649420680,645363120,651832408,664975824,681172920,685334448,686431128,694517576,691471992,693661800,691910372,674384972,646997228,644833540,637841940,642288284,641825512,653439488,659998596,678155664,691485332,690530732,697881396,691749168,726256456,733500788,741135176,786750212,757662560,771900716,773863004,797821536,813608628,815508732,832414616,846553284,877354544,893303708,897609196,906652020,917151248,927182896,937663564,955350792,970881044,989057136,1006405412,1026425360,1036967847,1049032055
 "06000" ,"California",8,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",2437612,2347264,2515296,2608692,2557844,2568068,2638268,2724556,2411888,2377372,2733220,3472200,2878504,2937396,2909692,2892940,2904004,2936008,2987572,2993312,3064112,3075476,3112772,3180332,3218324,3303572,3236612,3152912,3317056,3343468,3492612,3737812,3782448,3467336,3704076,3778756,3782384,4080004,4126072,4131980,4173072,4298044,4328464,4144248,3889856,4003440,3983676,3997820,4160096,4331060,4489944,4491748,4513304,4247400,4694488,4863660,4939140,4910868,5027844,5132652,5373708,5482976,5431032,5558080,5664784,5667036,5836808,5852028,6307844,6146612,6521020,6343316,6964040,6923520,6952656,7202028,7065064,7207124,7277272,7448552,7767376,7763938
 "06000" ,"California",8,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1756492,1392352,1451824,1399292,1417904,1416996,1393860,1413080,1412328,1529260,1447380,1523444,1655040,1715700,1674132,1702676,1641204,1499244,1528968,1501148,1513040,1585924,1550932,1668424,1864552,1729596,1894320,2026876,1891880,1969584,2124144,1903140,2108988,2332112,2409328,2499664,2529520,2596636,2779112,2804004,2866124,3065644,3075448,3388104,2465220,2855764,2735212,2898528,2820728,2764808,3092612,4106496,3407160,3433696,3494296,3286960,3724980,3622828,3953292,3876156,3821496,3927012,3898864,3505968,3927420,3856184,3878936,4224944,3708092,3619288,3678704,3457484,3338424,3018988,2900736,2690724,2369180,2428944,2411620,2455884,2470571,2560782
 "06000" ,"California",8,SQINC7N,300,"22","   Utilities","Thousands of dollars",3526204,3507152,3440708,3482964,3511580,3466756,3371452,3763520,3847620,3347548,4046744,3716424,3501256,3992976,3951116,3832372,3599684,3984836,4001864,3991992,4218012,3938652,4212340,4371360,4568320,4588316,4873760,4826140,4735416,4675412,5016452,5168344,5195816,5303864,5322528,5411948,5288692,5554448,5503868,5780916,5745916,5720972,5590468,5736796,6020468,5979684,6033576,6202036,5947944,5683780,5698724,6269264,6117756,6456296,6414700,6205260,6105196,6542244,6849056,6853812,7103028,6797204,7066228,6693048,6765268,6816156,6783300,7005236,7501776,6975872,7470628,7465948,7315204,7229168,7563772,7720364,7786640,7997132,7712276,7836348,7424334,7521866
 "06000" ,"California",8,SQINC7N,400,"23","   Construction","Thousands of dollars",21613724,22348000,23931428,25220184,25853472,26274012,26640472,28178764,29170448,30378908,31297712,32413556,33490176,34187836,34473516,33775452,34183100,34202052,34066548,34500932,34637728,34745292,35381500,36384784,37268560,38927952,40083932,40457084,40759012,42601672,44413524,45179988,47112692,46485792,46888872,47696156,48905652,48269672,47388744,47342212,46355000,45488412,43564900,43182480,37921640,36482064,34830616,34082164,32063048,32217960,32188372,32177752,32473480,32495448,33590932,33269900,34692920,35325640,35860028,36969732,37438316,38510892,38902820,39559744,40494776,41069592,42075948,42626404,45726624,46527816,47512548,49529772,50275448,51571544,52326884,53321564,54098688,56215432,57715916,59027344,61767136,62890348
 "06000" ,"California",8,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",80429860,80702496,80223144,83412160,84609016,86216328,90374916,94593100,104285656,99481756,107554388,99209984,98029464,94775848,89332088,88245648,85760332,85825364,83922796,83184764,82189564,83409608,85414176,85715244,86778184,86530000,89004440,88361968,89830280,90924584,92825588,92607556,99754576,95309184,94094332,95881104,97710772,98387648,98942464,98835204,95803172,97321200,97493184,92243160,95039628,88360056,86199868,88801604,89090308,92525248,89604616,97184348,96545628,95403600,96856792,92584116,98719124,98282800,100134672,98592176,97659836,98977336,100077020,101658892,104522124,103264064,107572276,107314672,108680328,112996060,110471560,111381604,114531944,113641088,115693648,119947196,121054160,123586284,122145396,127444256,126458540,127821387
 "06000" ,"California",8,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",59043396,59209264,58886252,61244640,62147568,63740828,66695156,71182252,79129584,75176624,83213944,75211956,74363776,71189800,65811264,64448792,62918148,62866196,60813112,59891984,58882500,59621544,61436252,61706224,61851548,61995196,64343796,62909736,65063784,64363176,66180332,66228648,73661416,69394132,67505948,69091872,70298516,70948512,71502676,71205796,69222332,69639316,68875196,65333860,62832404,62075868,60345920,62967988,63383224,66704184,63184068,70408484,70471468,68643324,70470912,66602696,71524476,70993616,70510180,70076420,69464048,70255452,71266048,70879772,74062940,73212596,77537704,77156068,78556076,79550436,78809432,79604332,82675164,81949896,83521124,87380444,88226632,90627480,89081832,94818648,94320678,95644985
