GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "19000" ,"Iowa",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",37435148,37549436,38800688,39004456,39411120,39821180,40300592,41195340,41667004,41958320,42282128,41924660,42666316,42909000,43252160,43123824,43218064,43796648,43977444,43985668,44302168,44687180,45483704,46379816,46619492,47437268,48469424,49042340,49001928,49566676,50579916,50883608,51947000,52555540,52599968,53462204,54536252,55455336,55609700,56487320,56942792,57183312,57848868,57890608,56108320,56020184,55962484,56199456,55982848,57105200,57565276,58143212,58414936,59009384,60014112,59979192,61206780,61976936,62308928,63123888,63524496,63656856,64174944,64639128,66190212,66839960,67387960,68076444,69473248,69655840,70204916,70747684,70944948,71104396,71995976,72672832,73004032,73680484,73633184,74446128,74806901,75553031
 "19000" ,"Iowa",4,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",311248,325080,331164,329560,319932,311780,305852,303700,303744,306660,312648,321208,339284,343508,346192,347424,329388,328012,325672,322176,420220,419252,423008,431684,462516,473024,479736,482640,395136,393000,389380,384132,344984,345436,352196,365552,577276,597172,607284,607628,501620,496912,495496,497380,503140,505404,504748,501256,531024,521296,508748,493360,481436,479688,494660,526472,634560,671136,690384,692756,584272,577344,576456,581436,691716,695712,690916,677360,581244,571144,570940,580440,559716,571888,578216,578880,714072,711372,712428,717132,723123,728409
 "19000" ,"Iowa",4,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",37123900,37224356,38469524,38674896,39091188,39509400,39994740,40891640,41363260,41651660,41969480,41603452,42327032,42565492,42905968,42776400,42888676,43468636,43651772,43663492,43881948,44267928,45060696,45948132,46156976,46964244,47989688,48559700,48606792,49173676,50190536,50499476,51602016,52210104,52247772,53096652,53958976,54858164,55002416,55879692,56441172,56686400,57353372,57393228,55605180,55514780,55457736,55698200,55451824,56583904,57056528,57649852,57933500,58529696,59519452,59452720,60572220,61305800,61618544,62431132,62940224,63079512,63598488,64057692,65498496,66144248,66697044,67399084,68892004,69084696,69633976,70167244,70385232,70532508,71417760,72093952,72289960,72969112,72920756,73728996,74083778,74824622
 "19000" ,"Iowa",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",30710672,30843052,32005692,32139348,32498400,32954036,33132416,33982440,34410788,34492556,34839956,34372636,35128324,35248412,35353284,35187660,35283476,35801432,35982884,35977268,36083528,36351324,37051456,37840480,38070232,38691576,39750100,40171600,40227800,40609076,41582656,41827344,42891876,43374884,43246376,44038488,44769328,45539744,45548488,46313188,46673432,46817116,47307316,47239492,45272800,45128524,45091380,45293352,45160848,46279724,46613620,47276400,47574660,48147240,48913768,48921576,50059740,50651228,50953084,51724452,52170808,52227432,52719076,53095080,54466004,55040880,55515820,56110064,57464688,57606116,58182460,58620444,58729956,58802504,59589388,60201292,60253468,60903932,60767300,61575752,61946965,62644430
 "19000" ,"Iowa",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",50996,50696,48404,52760,55740,55364,54056,60340,55968,54764,51864,75908,54552,61116,72016,69204,61044,67084,70148,68968,75736,80384,82184,87988,94672,100416,101360,107740,102204,104184,111136,111868,114436,112940,105984,120104,117192,128252,132004,125248,130252,136304,143072,154368,146200,149412,150256,160736,160900,168932,184544,188332,171324,178252,196596,173884,201848,212136,220528,210472,220136,220628,232256,242152,228688,219304,226608,230348,222724,234744,231968,235120,236072,239024,237984,247552,245716,248260,249200,250592,255069,262225
 "19000" ,"Iowa",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",69816,69488,68904,71024,71676,74216,73580,78072,76260,74180,76384,66944,73340,72544,73056,75776,76668,75740,73884,74736,71404,73564,74684,73760,76600,82056,84592,88164,85824,87412,91712,90256,89316,95012,90428,87636,104956,91000,88088,87808,89780,93564,97780,98792,89716,96228,98784,87152,85772,93740,94416,97732,93560,100388,101456,99800,103300,100648,98008,98732,102868,103656,105636,106228,106700,110644,113796,117372,113344,122728,121540,124464,119864,124968,130356,127440,133712,134112,136376,134908,135967,138543
 "19000" ,"Iowa",4,SQINC7N,300,"22","   Utilities","Thousands of dollars",417372,451944,429396,427228,476452,447916,437992,489276,476884,427420,480488,464600,447916,475072,464344,471192,495056,501196,518268,503392,459468,465388,480860,477380,519944,511632,496612,487796,451112,442436,470636,504052,438788,488612,466684,474660,530908,518576,515892,511816,511280,546064,525812,553704,534244,573844,506792,509216,490988,529944,521800,530664,532056,540832,531236,509336,523816,513612,539356,580308,528064,533284,532540,496272,571536,550948,571668,545464,576412,562368,584656,563016,557080,565944,560240,595204,565376,628064,550680,605512,582659,592175
 "19000" ,"Iowa",4,SQINC7N,400,"23","   Construction","Thousands of dollars",1853820,1947284,2065692,2122652,2163648,2143584,2145496,2178248,2233128,2159636,2114332,2096704,2251768,2242012,2270504,2281144,2317988,2328348,2307540,2326856,2308204,2354024,2431976,2494584,2491268,2582920,2627644,2624600,2715060,2792336,2894792,2878312,3205500,3132592,3034732,3087420,3183620,3116072,3108404,3216516,3237952,3257564,3419636,3319108,3133512,2925860,2847608,2753968,2764020,2803664,2741468,2798288,2766788,2839884,2998756,2960756,3064452,3142628,3096876,3212740,3230144,3268800,3467900,3540268,3678644,3907988,4038128,4194056,4459716,4387708,4331020,4458564,4771608,4843248,4888832,4737708,4500088,4244548,4232476,4293456,4405210,4554846
 "19000" ,"Iowa",4,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",8228516,8442236,8514532,8723360,8721512,8767428,8823012,8917080,9077516,9195100,9158668,9022748,9162596,9034236,8969604,8645920,8678200,8835900,8751884,8609492,8601760,8612172,8813012,9152588,8980328,9387016,9595220,9786408,9694520,9906208,9998700,9971964,10226116,10274736,10217232,10342432,10468712,10535456,10619572,10701808,10978468,10740424,10728276,10545756,9842564,9509392,9504924,9643824,9585548,10047288,10209932,10202544,10284312,10479520,10663972,10764992,10807032,11051988,11056880,11066620,11249256,11337068,11357988,11473896,11710384,11810612,11779888,11958172,12036484,12110448,12150668,12144520,11968152,11870792,12109612,12029992,12379912,12539136,12903312,12866552,12949685,13102613
 "19000" ,"Iowa",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",5201976,5385464,5463024,5540228,5517300,5538848,5618116,5670436,5851936,5946204,5868036,5809724,5894564,5798176,5727700,5408428,5443596,5538388,5494000,5349632,5334608,5356656,5573068,5761440,5674312,5991420,6148664,6302180,6245128,6398284,6430428,6440020,6680332,6737072,6665548,6775212,6854484,6850424,6914824,6956776,7013848,6893964,6867216,6651528,6110532,5794020,5727552,5766800,5787032,6092524,6317716,6298724,6469240,6623208,6713312,6847616,6846036,7040844,7041344,7015484,7143456,7194980,7233608,7285360,7476752,7515372,7518376,7544800,7600416,7639864,7602996,7497860,7354724,7237712,7363460,7143336,7431036,7568020,7824760,7773784,7762748,7867498
