GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "18000" ,"Indiana",3,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",85019604,86491632,87529880,89135404,90017884,90830736,91437868,94064836,95893340,95813372,96612804,94783572,97245848,96592064,96195412,95951420,96315712,97761100,98582076,99306200,98600952,99449296,100342016,103630068,102535960,105477920,106999668,107276312,106775556,108348516,109524412,110003824,112360136,112890496,113178028,114090292,116125888,116665780,116503024,117484052,118745596,118160736,118060276,117909144,111001364,111019724,110895724,112895992,111129636,114446032,115457804,116400724,117460084,118568868,120630240,119888528,123547084,124156684,124541572,126321820,127269288,127303124,127834468,127724344,130283768,131196952,132754320,134856704,136185088,138594404,139399692,140591532,140253264,141342936,143170768,145726476,148159052,148235192,149971804,151110824,153854199,155556591
 "18000" ,"Indiana",3,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",241112,250688,254544,252864,243896,237528,232772,230828,229272,231092,235104,240872,252404,255544,257552,258468,242288,241272,239556,236984,269476,268860,271272,276828,293004,299660,303916,305752,289300,287736,285092,281252,260680,261024,266128,276212,302588,313016,318320,318496,287128,284432,283624,284704,316028,317444,317028,314836,341796,335544,327460,317556,305668,304564,314068,334264,351284,371532,382188,383504,390064,385432,384852,388176,410472,412836,410000,401952,338928,333032,332916,338456,339060,346436,350264,350668,357096,355748,356276,358628,361624,364267
 "18000" ,"Indiana",3,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",84778492,86240944,87275336,88882540,89773988,90593208,91205096,93834008,95664068,95582280,96377700,94542700,96993444,96336520,95937860,95692952,96073424,97519828,98342520,99069216,98331476,99180436,100070744,103353240,102242956,105178260,106695752,106970560,106486256,108060780,109239320,109722572,112099456,112629472,112911900,113814080,115823300,116352764,116184704,117165556,118458468,117876304,117776652,117624440,110685336,110702280,110578696,112581156,110787840,114110488,115130344,116083168,117154416,118264304,120316172,119554264,123195800,123785152,124159384,125938316,126879224,126917692,127449616,127336168,129873296,130784116,132344320,134454752,135846160,138261372,139066776,140253076,139914204,140996500,142820504,145375808,147801956,147879444,149615528,150752196,153492575,155192324
 "18000" ,"Indiana",3,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",73772716,74985296,75890332,77592340,78270156,78832660,79553644,81684396,83176256,83042944,83689552,82293036,84134632,83594564,83017508,82685244,82909032,84122264,84797700,85347436,84617456,85190040,85863644,88995720,87728136,90599240,92109528,92017372,91701912,92642416,94007420,94594576,96806816,97191776,97273936,98051860,99933320,100375396,100020032,100899380,101808388,101195584,100837368,100544712,93593248,93408312,93173964,95059124,93474412,96553240,98042720,98542832,100380912,100778456,102718980,102373788,105812556,106560896,106800944,108566224,109491016,109629504,110102500,109909784,112522488,113267100,114753880,116639512,118187416,120366900,120890552,122202624,121726664,122608728,124311800,126870976,129113912,129173044,130801444,131652808,134619922,136229328
 "18000" ,"Indiana",3,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",54068,51956,50740,55984,55700,57952,56440,54028,49056,48184,56416,77580,51048,50796,72988,55524,54216,52976,53084,55256,57352,56648,57632,60188,63464,67652,58744,67800,63048,65576,65916,70324,75092,73540,66588,70900,71744,76800,76476,81036,63352,66484,72152,70296,69876,68536,69452,65220,70556,71384,75956,76292,72080,72764,72968,74968,77620,79336,77856,82356,80740,85256,89480,82552,125672,108432,126260,118620,118344,120884,124496,129392,146876,130256,134908,135276,132580,134788,136440,143596,146475,146729
 "18000" ,"Indiana",3,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",328136,316468,328672,325792,317160,314300,321356,321456,328988,325736,320852,328812,299488,313376,318956,325448,322560,318988,317120,323880,315220,317496,316764,338524,320484,340800,349532,338364,341684,341276,338568,333340,359408,375040,369664,376448,382848,381668,399020,390344,370648,382604,384792,397116,357348,377520,366728,385140,377184,388708,399004,405124,415684,426600,441268,427408,465388,442176,433284,415656,472360,452380,445692,456436,475920,486520,488204,484752,454008,457112,458408,452244,421356,408208,401708,395492,406636,412564,415748,433564,422596,443882
 "18000" ,"Indiana",3,SQINC7N,300,"22","   Utilities","Thousands of dollars",839844,831500,849580,857048,881864,827948,841904,870268,881856,890628,881280,841272,893256,881328,902972,906496,875092,915988,884844,890520,903616,877904,886900,915892,907924,958692,937880,944452,933388,947556,994528,1027060,982388,1071480,1015412,1032780,994512,1031220,1087760,1059536,1129316,1115756,1117820,1156216,1216584,1147724,1148764,1163152,1114124,1176892,1250076,1207712,1194136,1247560,1209108,1202396,1166608,1206496,1255684,1235860,1260440,1248220,1251928,1250676,1303932,1271388,1254708,1282476,1317480,1322952,1320404,1340644,1261684,1316380,1310388,1341036,1317524,1326260,1345140,1354864,1360031,1374714
 "18000" ,"Indiana",3,SQINC7N,400,"23","   Construction","Thousands of dollars",4951304,5077112,5171980,5172056,5143456,5202856,5264388,5499500,5671116,5522164,5466748,5330328,5568656,5680588,5715384,5799856,5820984,5698692,5726572,5722920,5718976,5833968,5930640,6033156,5878320,6270372,6309740,6105688,6184004,6307036,6375340,6494780,6717304,6543948,6507172,6776480,6943136,7125264,7014612,7176320,7209968,7136164,7102852,7038844,6306376,5996536,5806188,5675792,5710864,6053312,6189772,6068620,6097536,6357092,6682392,6712480,7002752,7140960,7079720,7027284,7186500,6951808,6720260,6696940,6542504,6679400,6801360,6892308,6867640,7129188,7183892,7313508,7281056,7481000,7494380,7818740,8105368,8120716,8253516,8288472,8391734,8576767
 "18000" ,"Indiana",3,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",26023080,26386612,26244656,26785376,27502188,27300856,27675152,28326256,28381544,28172564,28161864,27532740,27014564,26590360,26116096,25695232,25683688,26456772,26578824,26613704,26022628,26255184,26145220,27896752,26727512,27831816,28459228,28426484,27920324,28064028,28230556,28501768,29257888,28832476,29075596,28701016,29201824,29044868,28617772,28476368,28810280,28305972,27480172,27560764,24045208,23535940,23548400,24506188,24168324,25104316,25708688,25505356,26602988,26207324,26466800,26711060,27713892,27978596,27865456,28391920,28427320,28499780,28741472,28669784,29653104,29942120,30380860,30871840,31237172,32119400,31684764,31641396,31671652,31406424,31963588,32600808,33665140,33340348,33812156,33971440,35373134,35808654
 "18000" ,"Indiana",3,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",19613228,19896904,19630180,19749428,19974220,20579728,20981668,21543300,21698484,21327396,21111604,20553944,19846700,19834172,19410520,19103260,18852856,19671128,19777320,19837208,19544808,19310764,19407884,20749892,19787864,20598008,21183432,21076160,20793472,20810692,20763288,21127744,21560968,21413520,21270164,21079864,21554244,21336424,21054160,20755752,20679524,20515544,19773352,19663328,16692380,16197560,16264420,16973368,16270112,17497092,17979348,17840472,18784540,18446724,18773992,18947984,20049604,20075656,19899284,20281756,20022696,20099528,20342120,20387336,20814188,21196528,21560496,21912872,22258316,23097484,22505216,22463196,22382408,22361268,22704868,23130276,24150376,23440400,24222608,24142224,25304735,25714985
 "18000" ,"Indiana",3,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",6409852,6489708,6614476,7035948,7527968,6721128,6693484,6782956,6683060,6845168,7050260,6978796,7167864,6756188,6705576,6591972,6830832,6785644,6801504,6776496,6477820,6944420,6737336,7146860,6939648,7233808,7275796,7350324,7126852,7253336,7467268,7374024,7696920,7418956,7805432,7621152,7647580,7708444,7563612,7720616,8130756,7790428,7706820,7897436,7352828,7338380,7283980,7532820,7898212,7607224,7729340,7664884,7818448,7760600,7692808,7763076,7664288,7902940,7966172,8110164,8404624,8400252,8399352,8282448,8838916,8745592,8820364,8958968,8978856,9021916,9179548,9178200,9289244,9045156,9258720,9470532,9514764,9899948,9589548,9829216,10068399,10093669
 "18000" ,"Indiana",3,SQINC7N,600,"42","   Wholesale trade","Thousands of dollars",4548504,4588904,4772704,4782348,4778380,4892056,4907964,5078716,5213008,5202740,5274640,5225224,5352816,5313584,5211400,5166096,5226412,5284960,5300252,5290660,5290004,5286820,5385360,5453576,5465264,5638540,5711024,5791504,5852968,5876632,5981740,6053056,6244248,6329608,6316212,6413596,6526272,6619468,6671148,6850124,6757724,6787284,6837960,6736704,6319332,6199864,6106556,6114048,6101100,6257748,6398392,6383036,6517756,6548832,6647728,6588808,6802692,6780152,6788336,6919476,6999468,7024000,6949104,7036076,7206244,7236900,7401564,7473936,7620144,7699184,7741676,7769232,7675568,7754936,7767492,8092324,8047028,8042908,8160104,8197192,8525166,8565387
 "18000" ,"Indiana",3,SQINC7N,700,"44-45","   Retail trade","Thousands of dollars",6316708,6379676,6434932,6575032,6578488,6750440,6747836,6825000,7063892,6987440,7079128,6943440,7218792,7152376,7156368,7189800,7209612,7242176,7239088,7257604,7250680,7262404,7319388,7482748,7363080,7451888,7627364,7571680,7549812,7531336,7571408,7583896,7678224,7715092,7642784,7729256,7835056,7832240,7672664,7788776,7770948,7740232,7672260,7562360,7350796,7398644,7388820,7480740,7263784,7689400,7530080,7495336,7607572,7610940,7811528,7723084,8022284,7881252,7902944,8072080,8129244,8141192,8133124,8079668,8234292,8345740,8398884,8646024,8636056,8786352,9040172,9130304,9120964,9170576,9266556,9427532,9526560,9604488,9491020,9627844,9611077,9758263
