GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "25000" ,"Massachusetts",1,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",116831132,121457924,124098136,125458540,127992500,129966560,134250816,138476228,147196540,145854060,151778956,152649432,155025736,151974756,150504292,149503536,148186732,149374368,148858068,148350332,147550204,148493432,151932904,154134464,154939780,158972500,161440924,159329584,160672188,161541004,164685940,166632756,170101236,171840236,172149320,176889360,181909612,182862168,184398656,187668856,189770600,190412012,189056420,190088576,179950256,181466404,182142120,183791188,181390512,186491828,190579968,191221980,192220408,198562144,196464608,195305876,200561904,202338840,203282524,208651720,206897964,209602280,210397224,212881040,218919412,218742808,222004032,228095616,230851112,235223252,235731340,239913864,238367660,240421048,245705740,245516328,250917592,252999716,257066816,257584120,265107835,265865686
 "25000" ,"Massachusetts",1,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",90196,90396,89544,88156,81908,80156,80312,82064,89036,92548,95468,97388,94508,95684,96436,96776,120624,120120,119260,117984,106776,106536,107488,109692,102240,104560,106048,106692,85700,85244,84460,83320,93104,93228,95052,98660,107000,110692,112564,112632,102464,101512,101224,101608,98280,98720,98592,97912,97104,95324,93028,90216,79332,79048,81516,86760,128024,135404,139288,139768,139304,137648,137440,138624,147080,147928,146908,144020,120760,118660,118616,120596,134336,137252,138776,138928,124680,124208,124396,125212,126258,127181
 "25000" ,"Massachusetts",1,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",116740936,121367528,124008592,125370384,127910592,129886404,134170504,138394164,147107504,145761512,151683488,152552044,154931228,151879072,150407856,149406760,148066108,149254248,148738808,148232348,147443428,148386896,151825416,154024772,154837540,158867940,161334876,159222892,160586488,161455760,164601480,166549436,170008132,171747008,172054268,176790700,181802612,182751476,184286092,187556224,189668136,190310500,188955196,189986968,179851976,181367684,182043528,183693276,181293408,186396504,190486940,191131764,192141076,198483096,196383092,195219116,200433880,202203436,203143236,208511952,206758660,209464632,210259784,212742416,218772332,218594880,221857124,227951596,230730352,235104592,235612724,239793268,238233324,240283796,245566964,245377400,250792912,252875508,256942420,257458908,264981577,265738505
 "25000" ,"Massachusetts",1,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",102007564,106385736,108867916,109960384,112260996,113960620,118300760,122189924,130708268,129099828,134891284,136123744,137604448,134478952,132691048,131753588,130127668,131042132,130340388,130165216,128736192,129777124,133115680,135156228,135653276,139413856,141622468,139839688,140712236,141676012,144517968,145967284,149577624,150757244,150933936,155368376,160219704,160784816,162370888,165199924,167028368,167606444,166077892,166462264,157006324,158009520,158797084,160169472,158207048,162784916,167176152,167449856,168652884,174331900,172210788,171414572,175972704,178049472,178352896,183858328,181507892,184296908,184936100,187345076,192723848,192520572,195125344,201386252,203480016,208154428,207860188,211981488,210926604,212389344,217882176,217213072,222636580,224178176,228519036,228650544,236260943,236865658
 "25000" ,"Massachusetts",1,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",93628,89668,86348,91736,100384,110144,121488,122776,108676,112124,124544,164684,167336,166420,153960,152128,171604,167164,179068,190264,185588,184400,192372,200296,191208,212596,200060,256684,248412,238960,269208,234592,234256,234948,232580,223120,206008,255480,239840,256060,271288,220596,232296,235244,257220,246176,218712,254552,249256,239332,291440,287920,189592,227076,241916,227736,225856,231760,228592,214408,208420,217904,203392,188632,204068,196820,191044,191176,183640,194764,229444,242508,210644,211016,238240,232756,242796,228720,227732,257272,207564,240833
 "25000" ,"Massachusetts",1,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",57972,63408,58988,57044,58076,59108,60068,67936,63376,61180,61476,60196,63296,65020,69424,70604,71484,72388,70068,74516,78004,80112,84776,91960,86552,91916,94136,91652,93744,95456,89836,90924,97484,91440,91560,88848,86796,84120,79828,75144,69516,67028,63924,63756,62804,64272,65432,66384,58636,61436,59540,55868,57152,57268,57228,57244,52532,51760,47904,47460,50876,51584,52216,52184,55752,56104,56936,62120,55480,62696,67228,70684,71836,67220,66544,66392,66928,68272,68288,68352,68061,71624
 "25000" ,"Massachusetts",1,SQINC7N,300,"22","   Utilities","Thousands of dollars",800580,789392,823836,815988,812648,796888,908376,855684,935760,943680,861100,882236,923896,927412,899524,917468,815284,890712,866756,857192,858684,870004,858692,865896,891060,861836,828680,803728,848848,821664,816020,868668,843800,857904,864204,870828,900620,910100,970076,929820,955704,973840,993692,1066672,1150336,1031620,1032688,983348,1097532,1170660,1065636,1008060,1160696,1160440,1118540,1156164,1017924,1090612,1099416,1221440,1157724,1059020,1089228,1027512,1131420,1151088,1159784,1258952,1179580,1166428,1200212,1133440,1186240,1162132,1195008,1245052,1399408,1502196,1389836,1397748,1589821,1613648
 "25000" ,"Massachusetts",1,SQINC7N,400,"23","   Construction","Thousands of dollars",4601128,4729572,4925660,5113872,5314988,5463932,5585360,5774656,6250232,6359784,6593672,6911424,7169460,7255252,7335796,7403908,7706492,7550752,7536800,7627100,7420224,7344952,7276144,7271696,7321124,7496812,7617560,7569944,7507872,7647268,7833224,7833988,8239356,8093632,7957064,8053348,8314364,8406928,8311036,8438352,8566444,8574708,8404864,8374644,7473888,7152064,6967164,6811340,6708048,6832348,7021880,6882476,6937108,7178568,7294716,7350032,7642456,7634352,7697040,7992384,8092548,8331576,8441484,8547852,8707696,8924932,9213776,9420176,9615772,10044560,10279060,10579588,10786512,10855068,10819852,11200176,11381556,11563688,11889748,12057492,12477719,12725046
 "25000" ,"Massachusetts",1,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",18948444,19785780,19601736,20231568,19954624,20393752,21832108,21652732,23215696,22464432,22765480,22236396,22368960,21613244,20683920,20186504,19842696,19749752,19047916,18979396,18646900,18759048,18917856,19397724,18597848,19216824,19588264,18798252,19333736,18795632,19119164,19181316,19535160,19548524,19407132,19444720,20506712,20349540,20326628,21123100,20237636,19929832,19642900,19382540,18129080,17840776,17674956,18227576,18285592,18907064,19504236,19909312,19831268,20366736,19107872,19542208,19857072,20068768,20057600,20224976,19679808,20072940,20397644,19945804,20860588,20682652,20737624,21329592,22515692,21475924,20936804,20972740,20768444,20743752,22576408,20859120,21849656,21509116,21511560,21412552,22192036,22488396
 "25000" ,"Massachusetts",1,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",13750484,14456340,14132528,14714916,14409800,14827680,16196084,16235464,17328068,16658528,16889048,16479252,16710760,16071212,15222200,14868432,14525336,14337256,13863608,13726728,13395820,13448720,13472964,13849332,13434376,13970480,14290740,13643764,13919660,13418576,13779612,13941920,14175852,14046748,13984044,14067656,14976940,14839852,14791436,14739936,14658876,14461500,14270320,14100464,13102080,12766048,12656632,13079216,13108168,13704832,14223172,14704204,14681152,15009336,13893228,14403036,14742612,14749156,14750252,14668896,14411624,14521992,14717164,14364544,14745492,14930280,14933964,15177576,14979744,15186492,14878008,14864208,14991952,14799164,16503272,14926596,16028724,15511968,15327800,15191696,15898109,16156231
 "25000" ,"Massachusetts",1,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",5197960,5329440,5469208,5516652,5544824,5566072,5636024,5417268,5887628,5805904,5876432,5757144,5658200,5542032,5461720,5318072,5317360,5412496,5184308,5252668,5251080,5310328,5444892,5548392,5163472,5246344,5297524,5154488,5414076,5377056,5339552,5239396,5359308,5501776,5423088,5377064,5529772,5509688,5535192,6383164,5578760,5468332,5372580,5282076,5027000,5074728,5018324,5148360,5177424,5202232,5281064,5205108,5150116,5357400,5214644,5139172,5114460,5319612,5307348,5556080,5268184,5550948,5680480,5581260,6115096,5752372,5803660,6152016,7535948,6289432,6058796,6108532,5776492,5944588,6073136,5932524,5820932,5997148,6183760,6220856,6293927,6332165
 "25000" ,"Massachusetts",1,SQINC7N,600,"42","   Wholesale trade","Thousands of dollars",7074576,7266684,7539080,7620320,7705644,7771356,8072000,8343276,8833872,8982684,9102444,9097428,8929700,8869012,8776984,8544208,8335784,8419004,8293824,8273508,8513284,8558968,8833620,9066924,9119952,9318304,9224928,9096924,8930668,8903592,9219576,9153740,10458140,9662156,9889572,10011876,10190572,10412100,10396920,10490200,10609512,10706476,10518464,10378280,9900864,9715264,9808484,9755192,9544360,9729460,9919108,9910852,10162504,10292620,10239176,9986060,10095560,9969180,10010076,10178512,10319056,10505712,10441456,10601056,10796712,10894196,10989176,11299852,11131764,11474504,11449528,11492524,11596680,11743488,11852920,11903096,12341692,12182444,12285160,12417128,12601233,12675061
 "25000" ,"Massachusetts",1,SQINC7N,700,"44-45","   Retail trade","Thousands of dollars",7537936,7684176,7843376,7968428,7929760,8131148,8182948,8392980,8670696,8743080,8923788,9062464,9039676,8976448,9002924,9073200,9103944,9120432,9162692,9110972,9225836,9283312,9389432,9666744,9586784,9744992,9814880,9866156,9795256,9883768,9864292,9986084,9811844,9706244,9697536,9571400,9826268,9761876,9705008,9710560,9854400,9803648,9687464,9576884,9275232,9281820,9446008,9488292,9360828,9547080,9544544,9559300,9616244,9615136,9710888,9665908,9953864,9783784,9830236,9913540,10038300,10115184,10103716,10213208,10441136,10502712,10480468,10916404,10793888,11043132,11275944,11522816,11483596,11524712,11619552,11715696,11849616,11934668,12104040,12074664,12281279,12432523
 "25000" ,"Massachusetts",1,SQINC7N,800,"48-49","   Transportation and warehousing","Thousands of dollars",2404372,2462064,2525592,2579580,2611784,2658636,2712816,2837652,2887452,2961536,3004492,3032080,3033616,3001620,2967796,2930980,2856952,2877180,2906132,2955616,2896368,2901456,2872488,2894376,2902008,2947940,2981836,2974508,2941808,2972660,3009744,2983464,3030912,3048172,3110884,3159420,3235804,3299812,3252724,3308252,3338664,3284700,3284840,3315656,3144112,3135372,3103800,3130708,3158572,3188440,3227608,3286144,3288192,3377704,3411640,3395116,3461132,3506488,3502516,3577392,3535532,3560036,3629296,3749992,3839620,3911712,3941700,3931804,4079496,4148572,4248044,4293820,4300396,4302680,4400824,4520636,4564376,4609136,4652980,4687496,4830288,4905528
 "25000" ,"Massachusetts",1,SQINC7N,900,"51","   Information","Thousands of dollars",5097620,5198200,5415980,5518520,5829540,5609776,5887168,6357428,6710184,6864376,8438664,7631016,7936992,7733756,7364488,6901700,6715124,6788504,6557248,6512004,6217412,6154176,6247268,6330668,6355072,6316912,6457724,6216324,6523160,6648316,6718412,6817728,6890164,7099936,7091184,7258856,7353408,7223256,7320412,7479736,7700012,7691008,7648724,7817576,7171868,7097980,7216836,7240096,7573920,7814952,8047416,7940108,8101904,8275164,7975684,8089668,8218224,8283312,8546172,8762052,8243908,8439092,8503284,8400396,9015224,8807888,8851952,8969952,9584964,9597240,9545688,9426140,9674172,9795028,10006956,10027956,10210320,10352452,10485472,10928252,10532632,10540038
 "25000" ,"Massachusetts",1,SQINC7N,1000,"52","   Finance and insurance","Thousands of dollars",10418280,11530424,12213164,11558480,12792308,12540164,13070240,14634420,16554752,14806044,15266048,16455056,17394708,15819364,15802100,16131524,15335476,15741788,15953948,15666112,14702852,14981784,17010012,16267824,17641812,18577940,18230288,17341712,17117928,17360688,17629068,18297512,17808804,18671852,18722996,20722216,21580468,20743944,21704816,21316640,22383064,21524168,21378036,21125240,18453348,20096948,20062832,19192652,18630864,19756888,20016564,20765504,20113528,20619056,21726492,20257696,19799084,21546044,21019712,23036600,20827416,21704016,21438320,22265940,23458368,22940544,22723340,24348744,24488696,24364860,24797788,26372880,24808188,24863576,26116152,24855084,25333648,26675208,27603164,26476756,29689345,27668956
 "25000" ,"Massachusetts",1,SQINC7N,1100,"53","   Real estate and rental and leasing","Thousands of dollars",1535604,1632872,1620064,1682748,1663644,1673528,1757744,1717964,1935280,1883568,1951864,1998364,2010360,1989472,1995024,2074396,2046628,2025188,2090884,2012088,2045068,2073464,2063444,2092496,2128900,2208740,2248912,2324588,2284124,2302428,2405524,2338212,2443976,2502296,2403820,2703504,2614452,2575072,2449352,2485304,2563956,2462752,2425080,2429528,2258500,2385236,2254956,2330680,2343620,2418812,2597240,2465580,2553144,2595536,2669708,2578776,2647568,2740240,2859100,2924224,2930308,2923508,3166056,2983960,3169312,3073600,3266324,3205572,3229132,3231180,3219940,3463256,3368972,3540716,3333100,3565884,3584636,3609240,3651932,3680068,3804707,3888846
 "25000" ,"Massachusetts",1,SQINC7N,1200,"54","   Professional, scientific, and technical services","Thousands of dollars",12036300,12532772,13145168,13378096,13853944,14459244,14824268,16000828,16961452,17432424,19318532,19609180,19112672,18740156,18021496,17817960,16976808,16998804,16761792,16507392,16377248,16427792,16806712,16904416,17332508,17991776,18271364,18863028,18862568,19328928,19978896,20043868,20874392,21083944,21692676,22196956,22517340,22794608,23419704,24276612,24738632,26034248,24988344,25078404,24394492,23850404,24193016,24764620,24319768,24920040,25769336,26340616,26195060,26966828,27228248,27098404,28996232,28638760,28770848,29566700,29901336,30518324,30410832,30976696,31576452,31665984,33097156,33808316,33609936,35360896,35580860,36394468,36522040,36493584,37754660,38557680,39496452,40065364,41377040,42017076,43523175,44710326
 "25000" ,"Massachusetts",1,SQINC7N,1300,"55","   Management of companies and enterprises","Thousands of dollars",3330548,3528712,3548396,3566352,3818912,3911916,4161156,3837352,4548400,4037016,4180616,4565776,4988432,4513276,4733476,4561916,4429372,4449164,4150868,4296396,4253292,4419472,4359972,4735804,4712176,4624276,4999748,4840152,5150644,5062532,5340332,5394820,5526640,5775720,5225396,5619720,6058704,6165076,6146072,6131112,5861236,6338756,6446092,6001076,5888928,5748900,6028924,6315388,5614040,5672272,6290756,6380252,6428384,9182884,6386052,6855808,6907720,7101504,7281384,8019160,7703632,7430736,7415692,8004604,8372860,7663076,7764700,8394852,9060148,10364332,8565540,8597108,7853776,8591524,9053560,8849352,8776016,8613584,8976412,9221436,9806045,9386458
 "25000" ,"Massachusetts",1,SQINC7N,1400,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",4245828,4277256,4342228,4467080,4550676,4602864,4767300,4958644,5209604,5482104,5652900,5556500,5502788,5274812,5084396,4919264,4923736,4943120,5020160,4838680,4931372,4932792,5009400,5131232,5220660,5291024,5376324,5488208,5502692,5613156,5761168,5835028,5916164,6156492,6101716,6256060,6537368,6616344,6627528,6682016,6661112,6612056,6538296,6406392,5835924,5805320,5763128,5841884,5828772,6060828,6206696,6197760,6440476,6446056,6603604,6488340,6823744,6753092,6699552,6830756,6884292,6934576,6940024,7085112,7147304,7284864,7404448,7411348,7600696,7762312,8000568,8169072,8248424,8230696,8204724,8376580,8565792,8640004,8849276,8770952,8763954,8950568
 "25000" ,"Massachusetts",1,SQINC7N,1500,"61","   Educational services","Thousands of dollars",4020688,4053216,4225156,4092396,4209140,4289356,4289436,4518200,4616316,4728136,4864692,4907704,5056240,5151024,5309568,5325684,5564828,5570392,5693824,5765040,5661932,5802812,5823112,5950084,6010808,6090872,6113080,6170504,6096344,6202168,6322992,6251708,6416184,6388408,6528008,6632792,6903688,7062456,7047296,7270796,7369808,7404968,7550796,7701676,7723224,7595196,7650380,7825276,7957036,8075752,8217144,8148652,8366620,8428720,8635160,8559408,8665128,8802676,8800104,8912420,8988156,9189496,9191944,9318024,9405164,9507340,9491704,9721564,9840008,9883468,9888280,9885904,9900076,10098800,10295348,10585668,10311476,10512436,10866616,10953680,11325716,11284223
