GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "26000" ,"Michigan",3,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",153724944,155412084,155172960,160811240,161636216,163966496,165422732,170278108,174837288,174440792,174809884,172561708,174563540,171929860,170723996,170619980,169606940,173280292,173185672,173229820,174534548,174102480,174604840,179037340,176382616,178363384,181143404,180669276,181605544,182854688,181930908,182933996,183458044,184357112,184043272,183598148,188031244,186892908,186923440,185385288,187081324,186559628,184317540,183910624,168847380,170854700,169564568,170755732,165990128,172352392,176095968,176286840,179921088,179928760,183075544,184782560,188039252,188238840,189212044,192872408,193509664,195020784,194941996,196245296,201391128,203374192,204706012,207359892,210421100,213096696,215873648,218736428,219282204,220665244,222858204,227092448,229617380,230069868,232419100,234885656,238749632,241591042
 "26000" ,"Michigan",3,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",496656,511016,512476,503296,472452,452896,449576,460856,500016,530456,548804,553216,506160,512464,516480,518304,559996,557640,553680,547732,451032,450000,454028,463344,498952,510292,517532,520668,471452,468908,464596,458324,447076,447660,456420,473728,653824,676360,687816,688204,549964,544796,543248,545320,573036,575612,574860,570884,460236,451816,440924,427592,547788,545804,562852,599032,697228,737416,758564,761184,689440,681268,680236,686100,808404,813060,807460,791616,808500,794428,794136,807364,894760,914236,924332,925392,746680,743852,744964,749872,756136,761664
 "26000" ,"Michigan",3,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",153228288,154901068,154660484,160307944,161163764,163513600,164973156,169817252,174337272,173910336,174261080,172008492,174057380,171417396,170207516,170101676,169046944,172722652,172631992,172682088,174083516,173652480,174150812,178573996,175883664,177853092,180625872,180148608,181134092,182385780,181466312,182475672,183010968,183909452,183586852,183124420,187377420,186216548,186235624,184697084,186531360,186014832,183774292,183365304,168274344,170279088,168989708,170184848,165529892,171900576,175655044,175859248,179373300,179382956,182512692,184183528,187342024,187501424,188453480,192111224,192820224,194339516,194261760,195559196,200582724,202561132,203898552,206568276,209612600,212302268,215079512,217929064,218387444,219751008,221933872,226167056,228870700,229326016,231674136,234135784,237993496,240829378
 "26000" ,"Michigan",3,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",132474724,133833668,133791356,139317356,139767924,141758728,142940120,147245056,151664472,150811040,151086952,148551056,150639448,147744500,146068936,145731760,144324080,147935176,147144584,147470336,148391884,147782000,148262532,152612628,149819748,151630020,154068452,153477956,154048504,155143656,154266844,154914480,155510440,156130920,155757816,154909028,159259144,157758052,157771552,156282440,157664732,156808672,154421760,154039384,138794544,140445036,139042508,140048896,135680208,141774076,145915636,146244928,150455292,150423756,153442928,155491580,157798800,159109432,159548072,163324220,163817104,165790104,165718160,166999968,171795292,173576500,174738624,177402344,180257676,182952520,185485256,188344612,188825360,189705688,191817584,195653492,198421988,198559012,200723212,202821236,207082996,209738001
 "26000" ,"Michigan",3,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",119784,122192,122480,123068,123848,127056,124968,132192,117552,119052,132008,166488,142200,142392,140652,137752,129704,131168,130704,130472,131908,132252,137444,138360,145856,147748,148684,147876,148188,151704,151720,151436,147472,148400,138908,144252,143000,147800,152996,150080,156356,159528,160576,168128,165024,160208,164008,170976,176096,189752,187396,183628,184408,181028,191564,201384,208588,213116,195572,196520,210456,207980,220468,232848,241372,239960,253804,243852,237156,252184,276872,269960,284212,280404,262548,281928,286780,282608,296560,273932,289568,298704
 "26000" ,"Michigan",3,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",353356,333048,331700,332848,345884,374324,332272,332816,335576,337452,353628,357524,353932,340700,323048,329308,279216,306372,311260,312096,304936,297716,310204,316296,314792,327388,336972,335312,354628,354352,349844,363428,373460,381032,361088,365504,368720,374896,405736,393916,392388,417728,400256,444124,369928,340988,329088,349480,377024,403808,458600,416428,451972,437272,436124,444268,458788,488504,440436,465264,472200,462424,472704,496680,516588,509944,518704,504772,476120,497016,420444,421576,427060,410112,393520,378184,386412,404652,426228,425724,433485,448259
 "26000" ,"Michigan",3,SQINC7N,300,"22","   Utilities","Thousands of dollars",1246360,1299528,1243344,1299084,1301092,1320148,1382652,1324200,1502216,1310820,1422628,1347780,1338516,1446580,1478240,1434356,1429976,1408404,1441456,1423728,1687060,1468100,1513188,1427048,1409472,1485908,1520412,1585488,1509416,1568496,1544708,1628440,1618312,1658972,1618260,1693120,1766768,1765088,1802712,1774928,1714940,1711516,1770080,1798796,1858624,1854772,1705268,1814288,1749488,1873760,1875364,1805812,1920396,1823992,1908908,1940876,1848808,1929196,2065876,2011016,1978776,2016408,2038264,2030544,2237016,2156244,2156880,2071956,2254480,2205612,2259300,2207028,2213884,2269980,2160648,2417280,2308016,2382760,2323312,2456580,2334380,2362923
 "26000" ,"Michigan",3,SQINC7N,400,"23","   Construction","Thousands of dollars",7133268,7253876,7362228,7638520,7799296,8124840,8092480,8732716,9039840,9087244,9225644,9023336,9142608,9098712,8975180,9189716,9131940,8931384,8797300,8669980,8323056,8547608,8539896,8605140,8514924,8585820,8863816,8658636,8805728,8794424,8711080,8605208,8768704,8662360,8227600,8185740,8356988,8289676,8230088,8074968,8043336,7850012,7772164,7708404,6917020,6493580,6165704,6071520,5941400,6248328,6453484,6438604,6379604,6645324,6895484,6761436,6890128,7019580,6925940,7208936,7291836,7181628,7376248,7544572,7814600,7944428,8270868,8253128,8372596,8798008,8721032,8940528,9139508,9410468,9289508,9721388,9979452,10161052,10348092,10361992,10685752,10972237
 "26000" ,"Michigan",3,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",41459956,41502264,40098036,42180688,42012856,43366588,44121696,44382300,46171168,44967924,44493752,42895532,44249000,41736476,40309200,39452600,38604276,40212004,39174320,39349268,39820660,38921572,38361440,41181688,38554108,38730768,39095276,38595132,38554852,38179948,37284436,37514740,37348568,37744492,37417496,35936564,38098332,36764580,35979260,35300512,35002588,34415920,33349480,32599932,26506508,26900080,26712244,26949000,25694732,27942564,29254540,28586404,31119028,30384752,30947236,31969460,32700164,33071660,32487176,33613556,33566156,34316316,34530632,34588712,35495356,36103056,36302868,36834800,37598436,37527104,38353188,39448052,38892072,39071576,39118156,39730700,41063040,40539060,40898668,40876560,43198340,43716227
 "26000" ,"Michigan",3,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",34603520,34397788,33040592,35022356,34793296,36043440,36739888,36930752,38686812,37559112,37104580,35649640,36774348,34308628,33012928,32177236,31386616,32906904,32031484,32031236,32393472,31534520,30756096,33692588,31072100,31334228,31495504,31302256,31131328,30775060,30076712,30197472,30072036,30413616,30223028,28746920,30933852,29635296,28957096,28312324,27843416,27312592,26320424,25735108,20083880,20568744,20421276,20554540,19192384,21428232,22512692,21908808,24144812,23564400,24056392,25044484,25620444,25757416,25182764,26182520,26276256,26826536,27012224,26928876,27680512,28316268,28403396,28896616,29448752,29283340,30093488,31014596,30291172,30466184,30499812,30862668,31990172,31618856,31880620,31747572,33752164,34184300
