GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "91000" ,"New England",1,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",237776668,243995148,249407984,253429452,255878352,260406304,267651460,273528812,288101460,286620460,294935820,296818332,302261328,300105484,297024616,297219440,294508480,297775280,297916372,297673672,296564892,300031696,305573964,311123512,311424960,318847068,325712440,323190848,325085984,327823240,332444212,337118412,344577940,346345596,347738112,356204404,366938652,368295724,369440532,373308768,379387604,377936700,376892104,377736224,358498396,361225156,362316028,365188528,359705832,369820656,376192952,376293620,380783484,388584168,386862160,382842152,393376840,395649660,396573608,407170932,404460044,407520556,408686220,411999372,423113064,423695828,427231160,437794624,441170704,448014632,449110852,456840312,453956848,457757200,463161492,463424896,470961528,474443672,481739084,481112668,491796507,494363838
 "91000" ,"New England",1,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",356852,357796,354160,348120,327740,320048,321388,330204,357540,374724,388764,397644,388200,393024,396108,397512,501792,499668,496104,490780,441140,440140,444080,453176,419456,428980,435084,437704,349096,347232,344048,339404,376520,377012,384384,398976,429512,444332,451844,452112,411328,407476,406312,407856,394500,396276,395764,393036,389780,382648,373420,362136,318448,317296,327196,348284,502748,531728,546988,548884,547036,540540,539736,544392,577572,580908,576916,565576,474228,465976,465804,473576,527528,539000,544968,545572,489624,487768,488492,491700,495808,499431
 "91000" ,"New England",1,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",237419816,243637352,249053824,253081332,255550612,260086256,267330072,273198608,287743920,286245736,294547056,296420688,301873128,299712460,296628508,296821928,294006688,297275612,297420268,297182892,296123752,299591556,305129884,310670336,311005504,318418088,325277356,322753144,324736888,327476008,332100164,336779008,344201420,345968584,347353728,355805428,366509140,367851392,368988688,372856656,378976276,377529224,376485792,377328368,358103896,360828880,361920264,364795492,359316052,369438008,375819532,375931484,380465036,388266872,386534964,382493868,392874092,395117932,396026620,406622048,403913008,406980016,408146484,411454980,422535492,423114920,426654244,437229048,440696476,447548656,448645048,456366736,453429320,457218200,462616524,462879324,470471904,473955904,481250592,480620968,491300699,493864407
 "91000" ,"New England",1,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",205081024,210909736,215800792,219435776,221916864,225714540,232494788,237647704,251748704,249395108,257963232,259645616,263757488,261352484,257268392,257511668,254097716,256749104,256446352,256258516,254292208,257765084,263076332,267834832,268103512,274620572,281235852,278604208,280471860,282477000,286691900,290808820,298050320,299333612,300087224,307958968,318045236,318757148,319342688,322808224,327865776,326304976,324847024,325004768,306367420,308371944,309701308,311853108,307946252,316723816,323277764,322989596,327735956,335089980,333072768,329795152,339567568,341856724,342278252,352739184,349226860,352329208,353510660,356585640,366775276,367030192,369716288,380064936,382874648,389401344,389997244,397007652,395215408,398080720,403367532,403475524,410558976,413792680,420942524,420036548,430701431,432977839
 "91000" ,"New England",1,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",256636,262524,264548,272452,287408,300180,312836,311468,282112,292288,326228,425664,(D),(D),(D),(D),(D),(D),(D),(D),388052,379532,391168,402080,397748,427996,411020,477944,469200,464692,492424,458584,471464,473068,473272,464068,441764,499704,488440,513260,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000" ,"New England",1,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",134780,141376,143244,141028,146304,145176,149640,167320,157296,152844,148816,146548,(D),(D),(D),(D),(D),(D),(D),(D),179736,182600,188724,202604,189104,198192,205480,198044,203624,207176,203760,204428,227708,227624,222252,225360,225200,222384,219632,217584,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000" ,"New England",1,SQINC7N,300,"22","   Utilities","Thousands of dollars",1960644,1898352,1969996,1964644,1920548,1949444,2075856,2009740,2184492,2179336,1997900,2165008,(D),(D),(D),(D),(D),(D),(D),(D),2003216,2054264,2026800,2187904,2330216,2147280,2443596,1950784,2161988,2084220,2079388,2143988,2041624,1993068,2029424,2064760,2213140,2200956,2222708,2097808,2271628,2297860,2296816,2458896,2579012,2266468,2325444,2242536,2364964,2469768,2362352,2213852,2482992,2506028,2410816,2462268,2210972,2348832,2417732,2580308,2521356,2380684,2409952,2273040,2511120,2451916,2433808,2579048,2588484,2470028,2489996,2385368,2431104,2434688,2448736,2442572,2679460,2797620,2679784,2729964,2998730,3032052
 "91000" ,"New England",1,SQINC7N,400,"23","   Construction","Thousands of dollars",9407880,9636844,10106036,10473192,10768740,10991776,11319044,11604372,12416100,12562740,12782564,13235604,13848252,14005556,14084600,14366976,(D),(D),(D),(D),14063272,14187892,14326176,14470464,14506400,14921104,15236132,15033608,15057172,15325212,15563316,15615596,16313320,16166636,15975116,16304280,16733076,16788736,16638976,16869680,17156356,16928316,16444180,16276404,14757756,14129028,13858492,13632052,13226320,13476508,13705120,13448180,13656940,13963992,14174164,14235348,14751040,14626212,14603732,14957964,15226548,15556432,15732768,15843512,16096192,16531852,16976964,17284360,17501848,18197164,18602152,19220152,19586276,19624616,19498628,20030408,(D),(D),(D),(D),(D),(D)
 "91000" ,"New England",1,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",41113484,42379664,42442720,43787432,42913624,43744808,45854608,44928980,47900400,46820336,47808868,46905280,47663932,46430480,44178972,43481928,42767308,42610980,41660056,41101144,40812036,40905848,41054520,42174460,40959292,42200540,43196072,41785808,42745200,41904508,42179400,42299480,43211040,43539644,43155940,43503672,45137364,44980256,44980228,45987600,45135660,44733500,43896748,43615880,40722712,39967340,39733192,40159652,39944068,41537236,42747964,42587720,43645312,43972100,42307164,42935796,43811036,43871392,43590004,44003748,44042952,44273732,44543308,44426796,44968240,44966496,44696712,45841880,46659248,45852688,45255220,45328360,44578864,44661456,46480716,45091160,46552128,46435352,46818656,46309432,47920604,48580106
 "91000" ,"New England",1,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",29502072,30529720,30425404,31589304,30791988,31481220,32979900,32715252,34942324,34003792,34649284,33911572,34725932,33665900,31831892,31344276,30667780,30465624,29738028,29380836,28943432,28957992,29032012,29902412,(D),(D),(D),(D),30664660,29927444,30327740,30522316,31039204,31311364,31068896,31525036,32840456,32655104,32631068,32712108,32935624,32451312,32162924,32006772,29765176,29014916,28874376,29225880,28980604,30370240,31259924,31476352,32189016,32496516,31009636,31562996,32411040,32274008,32135944,32357208,32390696,32460532,32655488,32420992,32732900,32816040,32657008,33361772,32622996,33023576,32781852,32852240,32690688,32644248,34357992,32989032,34332048,34119016,34081356,33662348,35117322,35685171
 "91000" ,"New England",1,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",11611412,11849944,12017316,12198128,12121636,12263588,12874708,12213728,12958076,12816544,13159584,12993708,12938000,12764580,12347080,12137652,12099528,12145356,11922028,11720308,11868604,11947856,12022508,12272048,(D),(D),(D),(D),12080540,11977064,11851660,11777164,12171836,12228280,12087044,11978636,12296908,12325152,12349160,13275492,12200036,12282188,11733824,11609108,10957536,10952424,10858816,10933772,10963464,11166996,11488040,11111368,11456296,11475584,11297528,11372800,11399996,11597384,11454060,11646540,11652256,11813200,11887820,12005804,12235340,12150456,12039704,12480108,14036252,12829112,12473368,12476120,11888176,12017208,12122724,12102128,12220080,12316336,12737300,12647084,12803282,12894935
 "91000" ,"New England",1,SQINC7N,600,"42","   Wholesale trade","Thousands of dollars",13476572,13738852,14125648,14418872,14455136,14638956,15123500,15475196,16455548,16598996,16945568,17079864,16934748,16991064,17111024,16500772,16369700,16419296,16284812,16211148,16488904,16565636,16933676,17398484,17295168,17776096,17864332,17847776,17815248,17912888,18415044,18501592,20173420,19269416,19671912,19885856,20261004,20607664,20586492,20710724,20908352,20969660,20741032,20607928,19690912,19252276,19283920,19261208,18928312,19314304,19666576,19669232,20145776,20287932,20281384,19925832,20255780,20280188,20264992,20720656,20842320,20953100,20788580,21149956,21447728,21607548,21769148,22204152,22442988,22815708,22753620,22913812,22873628,23295328,23326956,23493900,23908408,23775528,24026928,24093804,24337767,24433731
 "91000" ,"New England",1,SQINC7N,700,"44-45","   Retail trade","Thousands of dollars",16639524,16958212,17374472,17756356,17469100,17995920,18518276,18854760,19936348,19769284,19598804,19617356,20307420,20397992,20430900,20618088,20787928,20758564,20907744,20842216,20986484,21119360,21404828,21912440,21824912,22051776,22312800,22335372,22228148,22373960,22437988,22673600,22511700,22562852,22343520,22304976,22882768,22754816,22660176,22694544,22936316,22730908,22498584,22220048,21428788,21576584,21810932,21963728,21640728,22005668,21997076,22022408,22314648,22140336,22358864,22310288,23003384,22564440,22643920,22792588,23176868,23181272,23122580,23248896,23857740,23910628,23908592,24622252,24482536,24908544,25406924,25755560,25682328,25657548,25708964,25973140,26051520,26308384,26546524,26510756,26893400,27227862
 "91000" ,"New England",1,SQINC7N,800,"48-49","   Transportation and warehousing","Thousands of dollars",4914408,5005176,5127332,5192892,5285988,5382732,5473656,5651364,5695728,5863880,5864320,5916004,(D),(D),(D),(D),(D),(D),(D),(D),5798432,5846904,5900696,5963444,5952128,6108428,6198480,6258356,6213364,6253616,6364704,6328476,6483972,6540072,6633936,6816392,6889696,7253980,7007596,7033328,7119620,6991928,7016844,7118320,6744956,6646900,6573092,6608960,6553404,6739732,6790964,6803008,6933764,7050508,7102076,7062644,7257768,7235372,7269336,7383624,7301124,7362520,7453476,7624992,7806668,7935552,7958140,8001408,8201416,8339456,8505040,8615428,8562704,8660484,8753432,8865452,9015012,9045852,9157868,9205812,9445283,9576882
 "91000" ,"New England",1,SQINC7N,900,"51","   Information","Thousands of dollars",8961364,9170880,9341004,9644736,10003084,9869880,10399376,10825448,11324952,11447016,13336560,12172760,12719180,12616696,11873612,11211600,(D),(D),(D),(D),10403120,10297808,10520196,10782972,10786820,10750444,11017584,10737212,10987708,11373852,11270300,11482676,11575320,11774656,11710224,11945604,12199636,12132364,12111712,12196036,12561900,12597436,12561600,12601896,11698332,11617388,11735904,11969908,12033616,12432792,12700964,12580372,12734340,12844560,12636584,12666976,12836640,12983296,13242144,13723128,13150748,13545796,13650660,13330744,14275876,14415300,13995984,14249684,15017828,15026252,15094796,15009092,15215828,15358312,15646020,15934012,15671580,15788124,15960004,16490912,16229362,16229791
 "91000" ,"New England",1,SQINC7N,1000,"52","   Finance and insurance","Thousands of dollars",22170336,23594192,24697632,24021936,26188984,25949336,26785776,28926356,31591368,28928336,30611520,32581904,33734548,31755112,32203036,33217108,30797536,32533204,33131012,33089508,31040332,33259552,35615232,34448532,36374244,37467372,38396720,37825440,37519884,37872980,38637820,40665592,40872352,40356472,40588276,44001652,46953428,45296608,44947164,44477156,47203112,44697916,45119520,43898624,38588216,41702992,41923400,41006780,40981848,42904440,42950628,44081284,44303376,45992656,46755348,42963964,43467796,46177468,45141612,48713152,44700648,45901648,45741384,46203276,49301156,47483456,47368020,49914704,50636348,50017888,50337404,52912260,51477700,50992196,52552032,50441488,51511048,53421156,54909724,53083692,56419568,53836237
 "91000" ,"New England",1,SQINC7N,1100,"53","   Real estate and rental and leasing","Thousands of dollars",2792108,2908984,2949344,3021716,3045228,3094372,3201004,3194420,3510708,3445816,3548224,3657244,3717992,3633024,3598740,3743112,3713920,3737980,3772048,3751828,3746760,3747280,3815708,3859240,3891972,4021480,4092240,4163356,4145828,4231944,4366120,4309240,4465488,4540216,4389176,4737088,4771012,4628460,4464668,4611036,4686624,4519076,4575428,4419028,4144260,4295944,4244148,4213660,4195424,4324792,4502000,4425300,4593104,4640896,4695516,4664168,4805076,4843368,4971460,5161476,5134548,5090336,5341580,5199024,5453560,5291752,5515352,5489820,5623392,5676580,5640268,5903952,5903512,6028304,5798688,6094552,5927192,6086364,6164444,6124620,6354120,6492274
 "91000" ,"New England",1,SQINC7N,1200,"54","   Professional, scientific, and technical services","Thousands of dollars",20735732,21187800,21990184,22467580,23084720,23945220,24463160,26029496,27333180,28000728,30230788,30486636,30345388,29851184,28851252,28536652,27560896,27461924,27205768,26863720,26641256,26776136,27279036,27528460,27966996,28819316,29291804,29842876,30161420,30901684,31514808,31897652,33161384,33432100,34868964,34935420,35670388,35963212,36609032,37804900,38483428,39771432,39038728,39037944,37712132,37091536,37254980,37816684,37357328,38276244,39470520,39998060,39949828,40954664,41335744,40970828,43241544,43066624,43218524,44626512,44868736,45546096,45293680,46196692,47455520,47684868,49480280,50423768,50316084,52089000,52683800,53932728,53877024,54170600,55402440,56213896,57827704,58568272,59927248,60684232,62596326,64224203
 "91000" ,"New England",1,SQINC7N,1300,"55","   Management of companies and enterprises","Thousands of dollars",7363404,7568180,7827960,7972008,8223948,8292608,8320700,8440292,9105128,8864196,8943592,9361864,9032120,9418836,8647552,8678056,8322552,8374820,7972616,8193504,8654568,8555512,8847720,9255388,9451516,9273736,9812416,10123732,10110264,10029164,10591304,10630200,10962580,11686556,10746696,11965776,12277336,12608560,13065344,12303712,12059348,12454648,12336408,12257176,11638376,11359136,11929224,12126952,11295080,11553532,12263252,12555472,12532172,15579080,12852504,13169736,14180944,13928360,14728196,16491508,15524948,14893104,15147596,15884992,16770548,16093368,16168748,16826896,17903052,19356796,17127884,17096880,16639332,17825608,18074180,17569376,17114040,16974404,17962160,18219548,18671421,18296601
