GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "31000" ,"Nebraska",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",23326036,23912528,24305380,24458600,24854052,25254372,25472416,26302796,26837192,26879504,27129768,27208924,27642220,28020024,27963328,28366392,28417452,28800848,29022740,29155212,29445096,29794916,29970708,30423976,30570380,31125336,31680832,31721516,31887160,32129920,32539812,33246720,33796792,34389572,33927628,35059040,35337680,36114168,36442368,37192456,36939396,37668436,38111940,37693964,37130952,36890684,36957264,37182628,36843560,37660356,37669320,37768224,38149880,38675072,38696936,38755344,39917724,40147984,40409400,41393976,41366480,41314056,41715988,41667032,42853660,43218180,43284188,44349024,44928344,45780044,46041736,46258772,46183960,46634400,46922268,47669968,47672860,48439624,48646412,48954816,49311898,49863239
 "31000" ,"Nebraska",4,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",299184,312328,316948,313752,301548,291320,289032,294576,308924,323760,338980,352792,370412,375028,377960,379308,351212,349736,347252,343520,413656,412704,416408,424960,380028,388664,394172,396564,355232,353308,350056,345336,372652,373140,380440,394868,442832,458092,465848,466104,471272,466844,465508,467280,473484,475624,474996,471704,447492,439304,428720,415760,456156,454508,468696,498820,472320,499544,513880,515640,492088,486264,485520,489716,507932,510860,507348,497388,568688,558796,558600,567900,537652,549348,555424,556060,562284,560160,560992,564692,569409,573572
 "31000" ,"Nebraska",4,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",23026852,23600200,23988432,24144848,24552504,24963052,25183384,26008220,26528268,26555744,26790788,26856132,27271808,27644996,27585368,27987084,28066240,28451112,28675488,28811692,29031440,29382212,29554300,29999016,30190352,30736672,31286660,31324952,31531928,31776612,32189756,32901384,33424140,34016432,33547188,34664172,34894848,35656076,35976520,36726352,36468124,37201592,37646432,37226684,36657468,36415060,36482268,36710924,36396068,37221052,37240600,37352464,37693724,38220564,38228240,38256524,39445404,39648440,39895520,40878336,40874392,40827792,41230468,41177316,42345728,42707320,42776840,43851636,44359656,45221248,45483136,45690872,45646308,46085052,46366844,47113908,47110576,47879464,48085420,48390124,48742489,49289667
 "31000" ,"Nebraska",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",18673180,19213552,19587196,19730956,20143092,20493160,20685600,21455824,21883488,21885212,22193296,22057840,22512768,22712392,22584828,22809508,22945832,23120012,23333900,23368064,23584356,23724044,24043576,24258368,24489772,24901508,25432232,25414984,25501064,25799124,26234712,26810856,27272196,27770452,27245196,28283604,28475304,29247596,29490632,30165792,29837792,30501880,30873700,30270080,29823084,29404744,29364344,29475888,29240996,29887796,30000872,30021844,30416312,30740696,30964684,30786236,32156868,32116304,32512532,33247420,33443308,33153904,33709048,33462992,34762096,34888312,35041672,35856648,36495220,37101036,37366536,37613032,37415156,37926092,38134880,38737576,38733012,39436628,39625932,39863816,40278326,40797978
 "31000" ,"Nebraska",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",50572,49224,49324,45640,49636,50664,50068,51944,47492,46876,53036,67808,50936,52908,54984,51668,48644,48308,49448,49372,52440,53976,52004,56452,55544,59544,50960,58644,62456,65780,67948,67336,68200,69616,65324,68296,75448,77560,84524,83084,87572,87408,96728,101476,94692,99340,103244,104276,104248,112988,110560,102736,125440,120028,123120,126240,125668,133908,142648,143948,143796,148524,159980,165532,178596,152476,151080,158760,159276,162052,160112,164884,171524,175112,173052,170616,178860,174300,173332,178552,178917,184320
 "31000" ,"Nebraska",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",41972,42216,45636,45548,43020,43212,44788,48116,48296,47108,43476,41384,44684,45484,44388,45564,45228,44676,44832,44044,52688,50704,52724,52632,54012,56032,56392,56604,55416,57748,57412,57576,56420,56284,54572,56076,40020,41136,40816,40504,44296,43836,43184,43032,42684,41088,40020,40304,39936,43764,42572,46092,48152,47664,49464,50248,55536,55624,66164,55412,53976,53308,54932,56024,60556,61700,58948,59852,58324,57484,58372,58064,54784,55252,56360,56616,56884,57972,57652,59824,60967,63386
 "31000" ,"Nebraska",4,SQINC7N,300,"22","   Utilities","Thousands of dollars",99592,89984,95144,91676,97204,97556,84988,91584,88176,88536,92020,87444,96184,96332,78172,94728,110192,105080,123044,115064,134380,138396,135456,151668,153076,155720,141564,164656,131908,132176,150072,155960,138076,148224,156372,157076,173384,218596,207432,174172,197688,240616,265736,220924,243068,161940,152684,184460,174964,141752,132316,136964,158824,148380,142076,141048,142740,138016,146432,159568,108340,108048,111860,115868,128952,204152,113964,116248,135460,118968,106776,109752,103264,106024,101980,106340,109784,104784,110216,114304,122322,123733
 "31000" ,"Nebraska",4,SQINC7N,400,"23","   Construction","Thousands of dollars",1209404,1236956,1291060,1300212,1358236,1385464,1393464,1476044,1521940,1471888,1458912,1448708,1479416,1490592,1508080,1528072,1524816,1549996,1568520,1600140,1591404,1618856,1650408,1687104,1668136,1753160,1724860,1724716,1720456,1708648,1748116,1711008,1797524,1793264,1778900,1868668,1979988,1998904,2101000,2078484,2110228,2084880,2045676,2068344,2007292,1968140,2085404,1925384,1812336,1810396,1780936,1771272,1725200,1764300,1743620,1743060,1859156,1855876,1853344,1974440,1920188,1986016,2062228,2050648,2063352,2178912,2228236,2362284,2377956,2391152,2420704,2501084,2507420,2550832,2575080,2576480,2622560,2625168,2664888,2688804,2732171,2809229
 "31000" ,"Nebraska",4,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",3389048,3444408,3465644,3449736,3436388,3502292,3535776,3713372,3719040,3755648,3755556,3704244,3802528,3752680,3655604,3621012,3626032,3710064,3672780,3678016,3669044,3640656,3679688,3724012,3657992,3696300,3797712,3780672,3750896,3792200,3865620,3937448,4015164,4153180,3946364,4043832,4128556,4123764,4141248,4184096,4254064,4310940,4317032,4219940,3990632,3879060,3852028,3966020,3863352,4055604,4040648,4078452,4155972,4118944,4204912,4184376,4198948,4289384,4316636,4353144,4381452,4404060,4389268,4469784,4625860,4596984,4604868,4679280,4705104,4727404,4760780,4754976,4688972,4755020,4838328,4852600,4970700,5012484,5120912,5122060,5287284,5370592
 "31000" ,"Nebraska",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",1825092,1852196,1848952,1822268,1807768,1844576,1858852,2023300,1989392,2008968,2018360,1956288,1940420,1894536,1828204,1801860,1765340,1834380,1819992,1795952,1775892,1755236,1762640,1822840,1822432,1824220,1888796,1873340,1857188,1882344,1957764,1992696,2054064,2178776,2009476,2068932,2124924,2120708,2115248,2150012,2187460,2208700,2172808,2138256,1955068,1860672,1847056,1872640,1839016,1923160,1927004,1962656,2047276,2032956,2073192,2036820,2068820,2100232,2125132,2169760,2188048,2177948,2197032,2228996,2350536,2309300,2313172,2306676,2327696,2344300,2336560,2297364,2249132,2279348,2306832,2273460,2340140,2372044,2403284,2438740,2448163,2496819
