GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "35000" ,"New Mexico",6,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",19566964,19618372,19875472,20254556,20053736,20398680,20555848,21076504,21466856,21854824,22040752,22409800,22866688,23136496,23634756,23517172,23844684,24358388,24508860,24561360,24778940,25228224,25585720,26211684,26331048,26782028,27233948,27676556,27982728,28607968,28980436,29264072,30232128,30553124,30889220,31458864,31899076,32250108,32721472,33215504,33752580,33923724,34043664,34330380,33252308,33089980,33194888,33425500,32959732,33371416,33711592,33991524,33906896,34074160,34503108,34216628,34938752,35263296,34760556,35007680,35448476,35437748,35224716,35517860,36071284,36213532,36604924,37544992,37161032,37387748,37502404,37723504,37298212,37508308,37632640,37938836,38310024,38211880,38825052,38914172,39556319,39931798
 "35000" ,"New Mexico",6,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",165412,162512,159328,157020,154500,153708,155668,159684,168336,174604,179120,181492,174276,176440,177820,178456,201828,200980,199552,197408,173600,173200,174756,178336,182940,187100,189752,190904,217356,216188,214196,211300,202068,202324,206284,214104,231120,239080,243128,243268,221380,219300,218676,219508,248196,249316,248984,247260,225584,221452,216112,209580,212808,212036,218660,232724,229684,242920,249888,250748,273484,270240,269828,272160,263052,264568,262748,257596,223780,219876,219804,223460,251108,256568,259404,259704,258284,257312,257696,259396,261563,263475
 "35000" ,"New Mexico",6,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",19401552,19455860,19716144,20097536,19899236,20244972,20400180,20916820,21298520,21680220,21861632,22228308,22692412,22960056,23456936,23338716,23642856,24157408,24309308,24363952,24605340,25055024,25410964,26033348,26148108,26594928,27044196,27485652,27765372,28391780,28766240,29052772,30030060,30350800,30682936,31244760,31667956,32011028,32478344,32972236,33531200,33704424,33824988,34110872,33004112,32840664,32945904,33178240,32734148,33149964,33495480,33781944,33694088,33862124,34284448,33983904,34709068,35020376,34510668,34756932,35174992,35167508,34954888,35245700,35808232,35948964,36342176,37287396,36937252,37167872,37282600,37500044,37047104,37251740,37373236,37679132,38051740,37954568,38567356,38654776,39294756,39668323
 "35000" ,"New Mexico",6,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",13710568,13817596,13988744,14208964,14146652,14397024,14523280,14741628,15143508,15345216,15632680,15873988,16307200,16371020,16432144,16401992,16559524,16894116,16916908,16916036,17142848,17381576,17692000,18069812,18115584,18502352,18867852,19117584,19398200,19872920,20027612,20488964,21213416,21728108,22484752,22927076,23353704,23624960,23852740,24354912,24745784,24828456,24780432,25031048,23865740,23603780,23597256,23627736,23452744,23613232,24011044,24289720,24330360,24422000,24729668,24493952,25290572,25498592,25068176,25282676,25705432,25719248,25540024,25766476,26280352,26386424,26691020,27517452,27175200,27366708,27550404,27583928,27202332,27250312,27238028,27712880,27906832,28055756,28441572,28574816,29204634,29568856
 "35000" ,"New Mexico",6,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",50428,44664,42872,46352,58156,43248,46992,43624,40116,42404,50832,61488,49428,51832,47532,50580,49316,48044,51216,50308,50872,50972,50864,51816,52668,53404,54004,55572,55892,54896,51804,61184,60176,59384,57088,57444,56228,57784,56964,56932,67148,58844,57776,55420,57876,59572,60260,62132,60732,63104,64976,60124,62332,59976,65584,65644,71508,66700,56436,66620,69472,73488,71220,70720,75144,80344,78908,82716,81504,83904,93152,89372,97580,92680,94796,99364,96208,100732,101412,96084,104907,105383
 "35000" ,"New Mexico",6,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",665236,636584,615640,611864,565260,588024,587268,589888,627812,646908,653244,693044,732952,764032,748136,724520,690896,672044,660476,672692,678704,705376,705592,718692,744020,763376,809848,812548,878484,885392,971180,1007332,1098808,1142320,1158280,1187800,1158256,1252284,1253568,1260948,1335380,1458108,1495104,1530828,1253368,1156576,1119540,1148056,1234572,1232252,1311476,1763108,1412244,1548528,1602488,1571488,1688780,1818036,1779328,1770420,1846088,1973004,1926192,1922116,2053916,2136212,2166760,2231188,2071428,1964852,1925776,1785220,1568276,1461796,1399616,1525004,1529012,1578992,1700056,1688560,1833390,1919797
 "35000" ,"New Mexico",6,SQINC7N,300,"22","   Utilities","Thousands of dollars",199476,192404,198140,204864,205352,202528,209812,207812,205692,240852,199860,219076,238432,238784,225672,222692,217120,211292,217892,231104,210436,224348,225968,233040,225960,240328,222036,235476,232480,244836,251028,247792,246224,246480,259368,257424,265912,267360,305396,314176,332256,331776,306340,293060,353260,316416,334092,327488,318236,320520,320108,317164,324716,312580,324340,331980,304180,340544,336624,342972,337612,349124,339324,341656,347392,345664,347148,363988,348296,358408,354116,364376,364088,367784,372260,356832,370852,345476,364376,354944,372822,377025
 "35000" ,"New Mexico",6,SQINC7N,400,"23","   Construction","Thousands of dollars",1142668,1172356,1155444,1132560,1155820,1174964,1187792,1231840,1250256,1289756,1357292,1420720,1466568,1496800,1515040,1487668,1468232,1437968,1413940,1442640,1465000,1504544,1546212,1581764,1576844,1647332,1726920,1721988,1786580,1825992,1949804,2000764,2152948,2161892,2148260,2198088,2201620,2234728,2288952,2370200,2502244,2453616,2374676,2390888,2203972,2038488,2008164,1955748,1898676,1865384,1863860,1865228,1823500,1845348,1849280,1750364,1814292,1799172,1787940,1779760,1823460,1805800,1819972,1886516,1864576,1871444,1905448,1973488,1983640,1967756,1977264,1987676,2016328,1999608,1986520,2019644,2102628,2155672,2246144,2290752,2394451,2439190
 "35000" ,"New Mexico",6,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",1453144,1391064,1383900,1432600,1406452,1443644,1471092,1496512,1574284,1612588,1637576,1610948,1687852,1587108,1522320,1517136,1495372,1503900,1509176,1452616,1434852,1446228,1472552,1589984,1477240,1490924,1486884,1458564,1552804,1512364,1526104,1593528,1682872,1678544,1672616,1715172,1713876,1769204,1854592,1812332,1738752,1728672,1711608,1680288,1567268,1517896,1497076,1531960,1504132,1581384,1554720,1557700,1628724,1615784,1645704,1631544,1715708,1711660,1651992,1690960,1726856,1663184,1620556,1636520,1652436,1617492,1696808,1624404,1676876,1641044,1609620,1647132,1498840,1623724,1564556,1478876,1461524,1439816,1445508,1479992,1435111,1442577
 "35000" ,"New Mexico",6,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",1180476,1116772,1104496,1148104,1119560,1159424,1179624,1194576,1273520,1305204,1323460,1305944,1355672,1251672,1199952,1196932,1173512,1181140,1184100,1132408,1112144,1119728,1133484,1247428,1136448,1142752,1137320,1110520,1195508,1158696,1162532,1220500,1303556,1292828,1282536,1319344,1309988,1357056,1431216,1358632,1312724,1302320,1293464,1266584,1153676,1095824,1071452,1094036,1097572,1161768,1132004,1136180,1216244,1177448,1193856,1195060,1254004,1239004,1187372,1208328,1238340,1175096,1129636,1150440,1151532,1117320,1185008,1120788,1086696,1123944,1090584,1117916,1008428,1107924,1040516,962052,937612,905256,911504,948600,915597,916133
