GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "42000" ,"Pennsylvania",2,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",171719476,175246904,176164352,179890268,182046464,183911448,185423472,188065540,193600204,194119872,197196216,198659224,201325112,201662120,201558108,200944088,203710516,204684240,205859344,205500000,206605836,208763400,211161924,215566884,214222028,218259048,223896400,225210044,223870608,227002088,231366320,232381856,236986344,238864476,241275316,245522908,251166236,252194736,254195912,256583396,258464712,260736408,260838456,261538948,252270256,253805600,252865412,258613460,251879216,258319448,262870240,265313740,265328444,268776244,273704552,270994972,277406260,278523532,280025156,283967228,283343412,286497028,284647284,286349028,293446812,294422836,296639132,300923896,305286492,306952416,309153384,311815620,308259492,309669504,314492956,317434040,319761508,322214272,327879072,329416116,332982380,336442639
 "42000" ,"Pennsylvania",2,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",414888,416288,413332,408180,374000,367524,368196,374852,406912,420412,431948,440052,425332,430632,434004,435544,538236,535976,532164,526448,487612,486496,490856,500932,477708,488572,495496,498500,409632,407420,403680,398232,443140,443720,452392,469560,534812,553244,562612,562924,512172,507348,505900,507828,476708,478852,478228,474920,485320,476432,464960,450900,396524,395084,407416,433604,523104,553252,569128,571088,562476,555800,554956,559748,565752,569016,565096,554008,493424,484840,484668,492732,548868,560812,567020,567668,509436,507504,508256,511620,515894,519665
 "42000" ,"Pennsylvania",2,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",171304588,174830616,175751020,179482088,181672464,183543924,185055276,187690688,193193292,193699460,196764268,198219172,200899780,201231488,201124104,200508544,203172280,204148264,205327180,204973552,206118224,208276904,210671068,215065952,213744320,217770476,223400904,224711544,223460976,226594668,230962640,231983624,236543204,238420756,240822924,245053348,250631424,251641492,253633300,256020472,257952540,260229060,260332556,261031120,251793548,253326748,252387184,258138540,251393896,257843016,262405280,264862840,264931920,268381160,273297136,270561368,276883156,277970280,279456028,283396140,282780936,285941228,284092328,285789280,292881060,293853820,296074036,300369888,304793068,306467576,308668716,311322888,307710624,309108692,313925936,316866372,319252072,321706768,327370816,328904496,332466486,335922974
 "42000" ,"Pennsylvania",2,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",147115884,150372896,151329280,154672248,157033168,158482260,159634904,161619084,166978920,167183420,170104404,171272520,173625652,173825776,173085504,172278288,174464512,175147596,175765988,175309392,175857584,177791992,180445920,184065504,182732256,186357604,191971556,192292436,192098328,194615152,198251200,199546952,204047220,205575620,207763148,211605940,216853776,217577060,219147988,221513708,223294480,225205564,224956912,224986372,215919732,216813128,215828592,220360340,214996184,220652792,224996484,226674276,228422940,230867976,235494104,233985116,240295308,241514168,242876524,246861740,245611444,248662392,247168952,248471844,255568976,256436804,258283552,262282600,266209564,267904496,269959400,272085048,269737044,270255584,273773124,277342324,279622912,281948516,286948164,288577800,292242207,295521231
 "42000" ,"Pennsylvania",2,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",107120,113912,115732,117396,120140,122496,121832,131380,119700,117280,144084,176544,144620,148152,144108,143052,145344,144072,148340,141576,150728,145232,144920,151200,148056,156160,153356,162268,157036,162576,171468,170148,172948,169172,171240,173572,166920,173664,178120,178196,180240,182480,185664,190068,184204,186760,185528,189700,188688,197348,198944,202224,191808,191956,204112,198912,209236,207764,209084,210332,221492,223920,224708,228648,226160,234636,233504,242040,223600,236108,248144,251012,255728,247400,258768,259172,254452,255800,262648,264052,270906,275370
 "42000" ,"Pennsylvania",2,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",829364,846128,873648,863252,862020,818648,784672,805484,817876,767172,841576,816320,832736,852832,917512,871052,883328,845432,842812,835876,791424,817648,809092,875744,799600,912104,923864,968652,986768,989316,1026976,989912,1061764,1062308,1071228,1131116,1083188,1139392,1215508,1203180,1213664,1303240,1301344,1348880,1299252,1268536,1327236,1413440,1453604,1690996,1840748,2045800,2156896,2261412,2475172,2497800,2825232,2774748,2668456,2575656,2714332,2763536,2696832,2712508,2904376,3028712,3089612,3167576,2945344,2780432,2592812,2371924,2045576,1900292,1926632,1876224,2045524,2170680,2253744,2709604,2285516,2403164
 "42000" ,"Pennsylvania",2,SQINC7N,300,"22","   Utilities","Thousands of dollars",2004324,1964052,2031216,1983696,2002036,2073316,2000584,2137112,2212348,2237260,2070244,2310652,2210372,2296912,2225144,2208004,2234672,2360372,2124372,2222340,2123332,2087096,2102400,2076608,1987492,1969884,1930248,1874532,1992096,1927676,1850940,1929260,1859260,1820336,1926304,1810560,2014472,1989940,2043016,2029140,2128224,2074332,2065520,2115028,2136344,2006992,1997476,1928748,2081076,2058692,2060824,2036040,2244712,2241200,2206188,2257308,2215752,2238580,2288524,2340548,2217036,2302352,2255208,2320896,2412376,2348880,2356500,2265180,2643036,2662772,2675836,2626376,2653728,2646864,2603028,2720648,2721720,2669624,2712248,2712152,2777513,2808837
 "42000" ,"Pennsylvania",2,SQINC7N,400,"23","   Construction","Thousands of dollars",7573844,7786700,8137148,8356132,8623320,8678228,8755448,9106652,9609008,9618368,9595516,9766656,10311208,10433384,10368400,10458900,10593056,10543904,10528444,10484464,10460516,10644232,10835108,11046820,10920140,11134036,11413368,11250704,11667536,11903624,12044776,12026068,13049684,12723928,12734096,13066088,13474912,13466252,13373372,13611280,13795520,13658360,13446624,13405804,12560884,12104400,12030148,11893628,11532536,11943548,12011748,11854760,12187832,12371128,12635652,12771800,13320392,12919144,12773336,13039888,13148596,13137008,13183884,13203628,13292852,14008292,14057532,14308760,13940524,14476448,14723024,14933988,14976980,14961404,15018920,15417128,15905672,16329964,16806012,16967716,17608448,17888240
 "42000" ,"Pennsylvania",2,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",32157696,32837792,33063916,33756564,33652736,33433296,33697396,33992480,35028176,35082356,35417120,35345540,35040320,34452424,33310492,32203560,32757316,32380148,32074820,31604840,30817740,30942972,30655988,31309720,30307784,30938564,32018616,31122300,31555904,31436232,31409040,31899404,32613420,32621492,32465252,32738068,32789420,32868012,32686012,32685536,33288656,33042232,32881104,32525284,30294688,29621188,29063728,29735420,29096220,29999640,30699984,30572352,31187444,31260308,31456460,31004384,31866264,32173044,31895912,32082036,31908680,32072268,31804548,32120080,32773836,33034028,33182040,34001000,34070068,33920456,33813460,33491876,33358676,33469268,33168332,33710892,34163792,34100528,34880356,34249580,35059034,35472286
 "42000" ,"Pennsylvania",2,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",19627776,20280188,20342932,20691272,20707948,20506244,20682448,21129780,21488008,21491652,21700488,21567812,21374992,20810916,19938916,19149748,19474116,19369988,19210520,18756600,18479440,18507464,18360400,18640508,18464200,18724768,19566536,18808324,19365664,19370432,19473792,19940480,20213692,20258288,20180816,20239292,20261848,20398612,20278688,20192844,20642948,20682944,20509456,20335696,18564080,17781420,17307600,17769572,17283448,18062668,18575360,18531288,18933516,19329196,19433772,19187928,19837300,19903988,19696692,19683672,19812712,19766868,19836008,19971264,20180532,20476300,20563560,21015772,20943980,20954968,20878360,20432600,20198192,20091380,19888036,20413488,20561996,20849684,21223940,20788532,21408924,21732416
 "42000" ,"Pennsylvania",2,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",12529920,12557604,12720984,13065292,12944788,12927052,13014948,12862700,13540168,13590704,13716632,13777728,13665328,13641508,13371576,13053812,13283200,13010160,12864300,12848240,12338300,12435508,12295588,12669212,11843584,12213796,12452080,12313976,12190240,12065800,11935248,11958924,12399728,12363204,12284436,12498776,12527572,12469400,12407324,12492692,12645708,12359288,12371648,12189588,11730608,11839768,11756128,11965848,11812772,11936972,12124624,12041064,12253928,11931112,12022688,11816456,12028964,12269056,12199220,12398364,12095968,12305400,11968540,12148816,12593304,12557728,12618480,12985228,13126088,12965488,12935100,13059276,13160484,13377888,13280296,13297404,13601796,13250844,13656416,13461048,13650110,13739870
 "42000" ,"Pennsylvania",2,SQINC7N,600,"42","   Wholesale trade","Thousands of dollars",8756732,9329880,9166100,9260072,9436848,9436264,9709108,9866100,10134540,10304428,10456656,10536728,10675560,10797136,10773468,10541484,10766828,10852716,10872256,10902384,11147916,11367760,11508112,11753588,11773964,12167664,12758864,12744960,12599412,12867972,13262488,13493864,13717968,13904272,14156076,14553424,14849244,14982400,14936832,15057808,15143316,15239768,15371080,15419328,14581924,14466984,14331716,14440512,14215180,14635360,14890280,15148468,15458812,15733584,15880644,15764536,16099336,16080432,16259944,16369636,16256524,16396732,16364076,16630428,18060480,16673072,17193244,17302876,17434712,17636552,17312052,17389244,16990140,17006924,17159660,17228984,17387996,17442176,17604776,17497112,17300191,17381496
 "42000" ,"Pennsylvania",2,SQINC7N,700,"44-45","   Retail trade","Thousands of dollars",12334500,12580936,12456676,12844352,12895064,13152000,13231600,13557652,13744108,13901916,14145412,14029800,14228948,14292024,14221528,14355096,14365888,14333700,14480800,14402028,14572992,14734916,14825620,15259904,14772104,14989776,15290496,15441004,15301944,15389084,15357824,15434444,15668208,15551796,15727280,15687788,15936524,16128400,15861720,16088720,16113300,16072636,15986852,15806500,15355884,15551236,15569328,15787176,15262400,15847976,16018612,15903196,15974836,15953812,16182180,16093220,16476324,16338892,16397560,16443924,16560920,16456268,16385444,16324568,16492076,16695108,16626932,17061224,17116008,17354720,17467176,17729612,17716592,17561820,17698208,17931476,17771628,17842796,17810500,17772028,18122580,18305959
 "42000" ,"Pennsylvania",2,SQINC7N,800,"48-49","   Transportation and warehousing","Thousands of dollars",5993772,6111380,6219704,6642144,6588216,6517024,6579012,6762732,6893428,7018084,7010488,6989928,7076812,7228612,7158024,7175792,7305540,7372080,7320440,7257148,7237660,7209968,7453808,7463104,7476884,7698604,7869276,7937372,7704488,7832192,7969984,8019748,8132284,8171760,8229988,8265756,8598164,8580136,8622796,8632116,8795936,8750364,8699144,8673876,8396244,8371984,8273584,8447392,8168804,8463604,8614076,8725512,8838280,8952716,9104796,9108740,9279960,9331756,9354192,9306372,9478820,9521856,9605340,9824668,9919308,10230160,10384928,10558840,10874888,11042300,11197720,11288336,11073684,11321540,11624664,11684640,12012192,12119664,12312912,12412832,12519538,12676239
 "42000" ,"Pennsylvania",2,SQINC7N,900,"51","   Information","Thousands of dollars",5194080,5199440,5418856,5457688,5533044,5749292,5774964,6006480,6360212,6421356,6791956,7006764,6760888,6439596,6372732,6333736,5973264,5994496,5888004,5808376,5774376,5876048,5997148,6036836,5967588,5832412,5758852,5846680,5625328,5906956,5927864,5803696,5884688,5949932,6265892,6030660,6316276,6284416,6260604,6215696,6380572,6388660,6364872,6223748,6073720,6054944,6015304,6097948,5751844,5830548,6272492,5802816,6041452,5912500,6144076,5922604,5905432,6237920,6045912,6261924,6023196,6423632,6119592,5909140,6179756,5930708,5917132,6079780,6179932,6290108,6307936,6263384,6121116,6234888,6399824,6663376,6496092,6440764,6584552,6824084,7402420,7041079
 "42000" ,"Pennsylvania",2,SQINC7N,1000,"52","   Finance and insurance","Thousands of dollars",12468372,12602568,12528244,12688348,13284712,13051172,13124568,12857864,13826720,13576648,14124528,14424672,14769820,14137244,14594764,14481504,14417372,14716556,15058200,15111880,15031560,15244088,16186280,16133776,16288088,16428168,16858068,17131524,16322968,16987360,17348776,17492088,17977064,18032476,18368076,18887780,19157840,19092840,19010616,19379468,19251356,19542372,19263904,19313092,17598356,18665480,18614784,18819648,18011408,18648232,19016688,19309508,19173224,19190660,20034512,19787232,19535496,20744360,20589952,21933112,20930792,21453792,21109728,21371900,22668148,22361540,22253904,22763240,22927892,23353776,23319332,23603748,23076800,23061296,23343636,23696460,23730972,24426640,25423752,25432712,25383123,25395118
 "42000" ,"Pennsylvania",2,SQINC7N,1100,"53","   Real estate and rental and leasing","Thousands of dollars",1915420,1904460,1959632,2035660,2036836,2090212,2087912,2156576,2210812,2254108,2252948,2258840,2286568,2295344,2294960,2296968,2331572,2365732,2392336,2409656,2453792,2482128,2505808,2569384,2538176,2577648,2857884,2602088,2654712,2710584,2755824,2772572,2871504,2889608,2919808,3031200,2982772,2950012,2955892,2969756,3031624,3108468,2989660,2921180,2729580,2801240,2777432,2784336,2690908,2778168,2853496,2871236,2906432,2858344,2902732,2934308,3054048,2992800,3020576,3164228,3052988,3126584,3072976,3087036,3289432,3290484,3347500,3434212,3529092,3526380,3589324,3688932,3569096,3638212,3828716,3721452,3678828,3749632,3803688,3810200,4014807,4089136
