GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "94000" ,"Plains",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",272703120,276233116,280900072,284673432,289177152,292680076,294726284,303549724,309545788,312271428,317195948,316740240,322766492,323814280,323565476,325423236,326659164,329576656,331373948,332787628,333645096,336872352,341368464,344688128,347615864,353147872,360138280,363318580,363051140,366156564,372939100,375369060,383848744,388332488,388036332,394851000,403801328,410509736,410775052,416902260,422072292,424028096,427723228,431524476,410864580,411045224,410091964,412175692,408756064,416457072,420910468,425535048,427161840,432554516,437341432,436578356,449173104,453138888,455112948,465855204,464459048,467208144,469632516,472927160,483241712,486995424,492349404,498946844,507418532,510850268,513369096,516294228,515498472,517576952,523790064,530338768,535261692,539585556,541293956,545970532,550137158,556140095
 "94000" ,"Plains",4,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",1829888,1901292,1923320,1900884,1821380,1759472,1738608,1759936,1830752,1905716,1973644,2027296,2056528,2082140,2098416,2105884,2034568,2026024,2011612,1989996,2087776,2082988,2101664,2144792,2124092,2172368,2203196,2216536,2034720,2023704,2005088,1978044,1920364,1922868,1960476,2034840,2648936,2740220,2786628,2788184,2567400,2543300,2536052,2545692,2575280,2586868,2583488,2565620,2508556,2462644,2403348,2330660,2371472,2362884,2436640,2593292,3107400,3286520,3380784,3392400,2741020,2708532,2704388,2727744,3093504,3111344,3089940,3029288,2800208,2751500,2750532,2796316,2876980,2939556,2972076,2975472,2959412,2948228,2952596,2972076,2996905,3018811
 "94000" ,"Plains",4,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",270873232,274331824,278976752,282772548,287355772,290920604,292987676,301789788,307715036,310365712,315222304,314712944,320709964,321732140,321467060,323317352,324624596,327550632,329362336,330797632,331557320,334789364,339266800,342543336,345491772,350975504,357935084,361102044,361016420,364132860,370934012,373391016,381928380,386409620,386075856,392816160,401152392,407769516,407988424,414114076,419504892,421484796,425187176,428978784,408289300,408458356,407508476,409610072,406247508,413994428,418507120,423204388,424790368,430191632,434904792,433985064,446065704,449852368,451732164,462462804,461718028,464499612,466928128,470199416,480148208,483884080,489259464,495917556,504618324,508098768,510618564,513497912,512621492,514637396,520817988,527363296,532302280,536637328,538341360,542998456,547140253,553121284
 "94000" ,"Plains",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",226780896,230032540,234138020,237462080,241919600,244746480,246117812,253711240,258986504,260917448,265627580,264649060,270232920,270484876,269228644,270650308,271122384,273349232,274810832,275722668,275816188,278211168,282677556,285356572,287657832,292451480,298991196,301566068,301070488,303848308,310026320,311721080,319655788,323363948,322159200,328074980,335775856,341801580,341000884,346360308,350663616,351775044,354559196,357527808,336548184,335766688,334550736,336349880,333419080,340790784,345136656,349917888,351843964,356659668,361424652,360537476,372555544,376138936,377699052,387978240,386961624,389299328,391956664,394673620,404318228,407312792,412223320,417998652,426143772,429101460,431644828,434142188,432754584,434275424,439526780,445812188,450260300,453959368,455516340,459661384,463918036,469491526
 "94000" ,"Plains",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",342244,356080,356576,357320,375736,374344,371924,385788,356156,350304,395044,522308,381216,404972,429972,429540,410612,423608,444068,427176,485132,490644,483032,488168,529124,511832,495888,520424,529092,528584,542656,552504,558360,563012,539268,564340,556420,585716,623116,612680,628176,641608,688688,707080,680744,700692,707204,718800,736176,784968,774884,771836,777156,776400,833412,825220,859172,882524,891588,927632,921480,942932,968416,986120,983176,954104,972988,996144,999284,1014552,1064176,1029852,1080200,1078780,1081056,1115772,1127144,1121592,1099276,1136392,1164554,1182044
 "94000" ,"Plains",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1165776,1132236,1115592,1084896,1078692,1077660,1072212,1115652,1116580,1134080,1140520,1119536,1144240,1159856,1104024,1078812,1053100,1035344,1040652,1047440,1058948,1102708,1115740,1159932,1140688,1180804,1288568,1293704,1479240,1348416,1461524,1456156,1432764,1534192,1495980,1524700,1576860,1617920,1661548,1758728,1879020,1940248,1998108,2032100,1787932,1522804,1556724,1608484,1755292,2023304,2175756,2339756,2551576,2772232,3086804,3270532,3625076,4030200,3967008,3902576,3969076,4078480,4136084,4235740,4456480,4730324,4805864,4938204,4444780,3933404,3519412,3280708,2862284,2648644,2704392,2756712,2964596,3135384,3281192,3309488,3455297,3638234
 "94000" ,"Plains",4,SQINC7N,300,"22","   Utilities","Thousands of dollars",2486596,2503644,2523140,2574256,2651156,2619780,2553772,2652936,2739676,2581072,2791516,2728116,3061004,2910044,2976116,2946640,3444132,3009972,3150920,2982560,2819080,2881128,2912876,2999460,3172212,3171808,2991928,3085452,2933116,3075620,3165520,3273348,3109912,3230444,3266572,3306320,3379816,3470368,3561060,3482560,3639256,3641812,3782472,3767872,3752616,3707512,3720308,3748636,3757600,3741144,3778620,3858108,3932456,4008912,4044392,3942580,3919456,3932512,4005720,4070616,3978152,4156764,4060140,4108920,4176828,4249492,4172700,4293432,4150316,4284816,4226956,4174116,4160860,4185528,4241404,4339748,4286332,4305272,4375208,4414928,4507319,4559652
 "94000" ,"Plains",4,SQINC7N,400,"23","   Construction","Thousands of dollars",13991460,14293624,14854552,15334808,15914760,16210280,16562268,17241408,17746492,17612968,17535124,17534084,18484648,18482088,18296376,18572816,18738716,18607324,18665076,18757328,18638036,18866464,19288388,19482040,19308144,20042408,20340688,20304328,20329280,20657008,21085456,20954624,22242532,22187104,21608068,21884456,22681284,22709636,22828224,23386476,23375540,23216368,23339644,22847928,21482128,20523136,20479028,19579388,19065512,18986948,18992448,19016556,18993092,19373104,19911468,19766016,21073468,21326856,20916268,21500016,21736376,22326556,23271684,23589212,24126112,24820084,25366936,25826492,27023820,27113732,26926648,27444460,27774276,28356284,28778640,28681716,28754120,28228816,28528672,28564796,28914040,29543362
 "94000" ,"Plains",4,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",48448536,49016732,49167320,49830288,49892844,50512764,50910888,51699544,52680096,52786764,52881604,52523532,52927404,52371124,51526288,50932500,50622316,51502632,51039344,50830092,50695204,50443028,51008036,52476460,51753984,53224024,55020244,54882772,54104356,54995300,55607644,55639400,56884428,57885828,56846644,58090472,58932732,59209924,58584028,58753700,59550724,59657196,59106632,60293836,54460964,53633728,52161192,52828372,50988616,53750016,55115164,55045248,55111920,56099200,56691816,56932980,57851084,58300356,58518304,58851836,59190100,59909860,59918960,60187724,61631396,62055076,62271864,63208992,64194280,64099572,65068128,65268664,63951444,64660120,64983832,65848340,66655480,67302680,67915600,67915740,69513867,70476832
 "94000" ,"Plains",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",31421856,31800940,31918128,32297436,32208956,32600548,32894972,33533684,34325828,34424176,34451120,34017080,34170436,33847688,33171764,32586104,32141540,32733152,32519764,32298412,32117172,31981800,32527608,33551300,33370180,34344484,35756488,35566768,35126548,35870968,36261688,36417068,37250192,38157044,37341112,38425080,38836824,38742700,38408720,38473100,38715160,38681584,38480732,37613328,34804500,33812932,32464556,32764308,31558540,33550252,34821032,34737632,34907768,35760356,36069136,36378384,36883564,37228820,37221284,37442436,37884920,38312788,38621960,38657080,39714600,39904480,40228684,40532528,41145836,41077120,41600388,41679172,40509796,40877464,40833692,41122292,41449012,42094812,42438208,42394236,43427382,44133315
