GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "46000" ,"South Dakota",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",8226452,8351432,8437144,8650308,8739948,8978232,8989312,9408640,9590240,9607360,9681160,9647728,9896672,9993324,10056056,10108864,10155504,10266224,10443748,10494956,10553656,10624904,10709564,10989804,11058992,11321108,11456660,11437852,11710260,11712376,11860652,11965032,12310068,12405500,12488220,12746400,13031780,13335620,13395864,13630892,14016304,13959244,14099708,14100456,13863832,13945820,14031892,13932336,14049720,14227640,14633336,14476308,14734656,14877060,14935788,15252052,15532712,15797048,15654636,16030004,15932228,16069564,16176544,16365612,16795932,16894392,17068484,17242312,17518104,17761872,17757864,17882072,18181044,18209820,18425632,18555752,18791836,18917752,19114744,19186660,19396635,19571539
 "46000" ,"South Dakota",4,SQINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",110264,115008,116604,115344,110716,106860,105908,107812,112972,118280,123736,128660,134744,136424,137484,137980,127280,126744,125844,124484,101956,101728,102636,104744,146400,149728,151856,152776,151496,150672,149288,147272,146588,146776,149648,155324,212988,220328,224060,224184,241512,239252,238568,239476,181056,181868,181632,180380,185960,182568,178172,172776,191216,190524,196468,209096,283416,299752,308352,309420,247140,244208,243832,245936,255904,257376,255612,250588,167348,164440,164388,167124,175232,179036,181024,181220,189856,189140,189424,190660,192253,193658
 "46000" ,"South Dakota",4,SQINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",8116188,8236424,8320540,8534964,8629232,8871372,8883404,9300828,9477268,9489080,9557424,9519068,9761928,9856900,9918572,9970884,10028224,10139480,10317904,10370472,10451700,10523176,10606928,10885060,10912592,11171380,11304804,11285076,11558764,11561704,11711364,11817760,12163480,12258724,12338572,12591076,12818792,13115292,13171804,13406708,13774792,13719992,13861140,13860980,13682776,13763952,13850260,13751956,13863760,14045072,14455164,14303532,14543440,14686536,14739320,15042956,15249296,15497296,15346284,15720584,15685088,15825356,15932712,16119676,16540028,16637016,16812872,16991724,17350756,17597432,17593476,17714948,18005812,18030784,18244608,18374532,18601980,18728612,18925320,18996000,19204382,19377881
 "46000" ,"South Dakota",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",6404304,6502276,6618720,6761756,6870764,7080680,7077744,7418152,7549388,7539108,7603448,7572876,7768708,7829304,7838084,7870512,7922060,8006624,8140452,8186056,8224700,8275868,8373776,8545992,8565004,8770620,8922952,8904936,9107024,9118160,9283792,9339352,9691372,9752424,9806284,10030032,10244932,10540204,10541564,10751404,11083992,11002928,11098708,11051256,10849412,10865908,10937412,10852168,10888400,11064540,11457292,11336748,11512952,11672836,11780456,12058240,12176796,12502228,12343696,12722768,12673432,12799340,12901608,13060976,13460624,13523348,13670908,13839476,14158364,14387060,14370632,14517500,14698208,14731068,14894624,14970420,15147652,15240944,15429964,15504320,15703329,15843477
 "46000" ,"South Dakota",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",26996,27060,30852,29444,29656,29780,28840,30668,28780,29164,26484,37972,21096,21804,23844,22032,21832,22024,23268,23012,23008,24248,24576,26036,26256,26884,27012,27820,29536,29980,30048,30052,33084,33376,32740,31304,41120,35932,36620,39156,38868,40884,44896,42948,44272,46836,46936,42912,49488,50332,51656,53020,52996,53956,58684,60480,60040,65516,56684,59932,63088,65156,66680,68044,57172,62460,65368,65976,63660,63560,71416,69172,73424,70936,69264,72184,73944,74160,71660,73536,78616,77893
 "46000" ,"South Dakota",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",81928,71388,60260,52816,46424,46716,43284,45824,43464,43016,41756,39728,46368,45096,40964,43080,40564,34844,32792,34076,33304,33464,31892,30916,27940,30396,31356,32428,30520,32124,37572,33028,34100,36392,34940,35112,36056,37728,40920,44136,45952,49084,49704,45392,40844,38560,33792,42580,36028,41052,40540,44636,42048,45420,51852,46208,44936,47680,45784,56472,49888,46292,46576,46620,47212,47812,47120,49640,53332,47672,49484,52796,47616,50740,47588,51628,51068,52776,54124,52288,53703,54850
 "46000" ,"South Dakota",4,SQINC7N,300,"22","   Utilities","Thousands of dollars",91048,88456,88168,89920,87376,85184,86236,87324,88648,87648,89340,87892,94756,90552,92200,89008,112340,92304,100712,101212,102096,106152,103840,108172,105888,111060,103664,111264,111452,129120,128160,133048,134232,129936,127604,125336,141308,133232,137328,138144,131132,128280,129496,126480,136616,128588,132024,123652,144696,133040,134428,130820,140940,138208,135736,140568,134144,139276,136856,136688,137368,145756,138816,149436,149340,145656,145304,147476,150724,154132,153988,150184,156776,158832,155448,161772,160744,158960,159012,161780,166467,168364
 "46000" ,"South Dakota",4,SQINC7N,400,"23","   Construction","Thousands of dollars",432720,435388,445044,456852,478744,484196,487320,513424,529976,541520,546856,531104,547656,552640,559152,560412,569864,572912,577188,586424,584396,600336,618496,624312,607608,639984,642112,654596,664200,682652,705416,705212,751880,765416,752480,762716,782188,799912,830036,865780,867672,844556,835512,829656,805228,831276,866364,774264,775412,779524,801636,803900,771456,798060,818428,836068,857316,838292,794960,816772,817840,842624,892456,892668,907864,924660,946236,958928,1040780,1033736,995084,1028400,1047728,1096688,1203332,1110184,1091128,1081132,1073004,1093076,1133886,1135580
 "46000" ,"South Dakota",4,SQINC7N,500,"31-33","   Manufacturing","Thousands of dollars",1091856,1102600,1122312,1144068,1153132,1172516,1149252,1179284,1205304,1238292,1284012,1216340,1256324,1235636,1215904,1187972,1177712,1184328,1189456,1188428,1185500,1190212,1204608,1266736,1236624,1301556,1332896,1348488,1344132,1359212,1386152,1398652,1488348,1454772,1449100,1482220,1537544,1569204,1561780,1573920,1624280,1614800,1627668,1594056,1483740,1459248,1429856,1418976,1420532,1458664,1525392,1501868,1566792,1592208,1637000,1715696,1692648,1739496,1737948,1785260,1737780,1784280,1753688,1782304,1840276,1872052,1912832,1934852,1947312,1947952,1927460,1928968,1956652,1938580,1938940,1928792,2015660,2048140,2120968,2078132,2170023,2212508
 "46000" ,"South Dakota",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",769984,776756,794212,806884,820164,820460,802896,836108,847676,878580,919616,850984,878668,860192,846612,812812,811884,816240,815332,817844,806024,813368,831396,866320,853288,897884,923116,938612,932420,943988,960776,971436,1004776,1024444,1007464,1031496,1058804,1064552,1068272,1086736,1123596,1117900,1126492,1094536,1002408,967428,934864,931140,936800,967616,993728,989500,1039984,1077992,1095236,1176296,1152676,1166892,1163088,1180320,1181668,1195188,1199252,1214872,1260376,1276400,1305456,1316828,1322276,1321692,1317800,1286648,1308632,1285884,1276912,1257620,1311596,1335676,1375548,1355752,1410189,1443312
