state,decemb
Alabama,11.0
Alaska,8.8
Arizona,9.1
Arkansas,7.7
California,12.4
Colorado,7.5
Connecticut,8.9
Delaware,9.0
District of Columbia,12.1
Florida,11.8   
Georgia,10.3
Hawaii,6.9
Idaho,9.1
Illinois,11.1
Indiana,9.9
Iowa,6.6
Kansas,6.6
Kentucky,10.7
Louisiana,7.5
Maine,8.3
Maryland,7.5
Massachusetts,9.4
Michigan,14.6
Minnesota,7.4
Mississippi,10.6
Missouri,9.6
Montana,6.7
Nebraska,4.7
Nevada,13.0
New Hampshire,7.0
New Jersey,10.1
New Mexico,8.3
New York,9.0
North Carolina,11.2
North Dakota,4.4
Ohio,10.9
Oklahoma,6.6
Oregon,11.0
Pennsylvania,8.9
Rhode Island,12.9
South Carolina,12.6
South Dakota,4.7
Tennessee,10.9
Texas,8.3
Utah,6.7
Vermont,6.9
Virginia,6.9
Washington,9.5
West Virginia,9.1
Wisconsin,8.7
Wyoming,7.5
