state,march
Alabama,9.0
Alaska,8.5
Arizona,7.8
Arkansas,6.5
California,11.2
Colorado,7.5
Connecticut,7.5
Delaware,7.7
District of Columbia,9.8
Florida,9.7
Georgia,9.2
Hawaii,7.1
Idaho,7.0
Illinois,9.1
Indiana,10.0
Iowa,5.2
Kansas,6.1
Kentucky,9.8
Louisiana,5.8
Maine,8.1
Maryland,6.9
Massachusetts,7.8
Michigan,12.6
Minnesota,8.2
Mississippi,9.4
Missouri,8.7
Montana,6.1
Nebraska,4.6
Nevada,10.4
New Hampshire,6.2
New Jersey,8.3
New Mexico,5.9
New York,7.8
North Carolina,10.8
North Dakota,4.2
Ohio,9.7
Oklahoma,5.9
Oregon,12.1
Pennsylvania,7.8
Rhode Island,10.5
South Carolina,11.4
South Dakota,4.9
Tennessee,9.6
Texas,6.7
Utah,5.2
Vermont,7.2
Virginia,6.8
Washington,9.2
West Virginia,6.9
Wisconsin,8.5
Wyoming,4.5
