state,pop
United States,306771529
Alabama,4757938
Alaska,698895
Arizona,6343154
Arkansas,2896843
California,36961229
Colorado,4972195
Connecticut,3561807
Delaware,891730
District of Columbia,592228
Florida,18652644
Georgia,9620846
Hawaii,1346717
Idaho,1554439
Illinois,12796778
Indiana,6459325
Iowa,3032870
Kansas,2832704
Kentucky,4317074
Louisiana,4491648
Maine,1329590
Maryland,5730388
Massachusetts,6517613
Michigan,9901591
Minnesota,5281203
Mississippi,2958774
Missouri,5961088
Montana,983982
Nebraska,1812683
Nevada,2684665
New Hampshire,1316102
New Jersey,8755602
New Mexico,2036802
New York,19307066
North Carolina,9449566
North Dakota,664968
Ohio,11528896
Oklahoma,3717572
Oregon,3808600
Pennsylvania,12666858
Rhode Island,1053646
South Carolina,4589872
South Dakota,807067
Tennessee,6306019
Texas,24801761
Utah,2723421
Vermont,624817
Virginia,7925937
Washington,6667426
West Virginia,1847775
Wisconsin,5669264
Wyoming,559851
