state,gdp
United States,14448932
Alabama,168348
Alaska,49585.9
Arizona,243929.4
Arkansas,97058.9
California,1920061.8
Colorado,248593.6
Connecticut,236393.2
Delaware,56871.2
District of Columbia,100894.6
Florida,724582.2
Georgia,407024.5
Hawaii,65692
Idaho,53775
Illinois,644690.1
Indiana,261238.3
Iowa,136251.2
Kansas,124340.7
Kentucky,155779.7
Louisiana,206884.9
Maine,50556.5
Maryland,302507.3
Massachusetts,391265.1
Michigan,365591.7
Minnesota,259958.7
Mississippi,93205.6
Missouri,251780
Montana,35983.9
Nebraska,86830.3
Nevada,121109.5
New Hampshire,61937.4
New Jersey,486512.8
New Mexico,82017.4
New York,1152812.1
North Carolina,406477.4
North Dakota,32002.5
Ohio,480322
Oklahoma,145736.4
Oregon,160640.7
Pennsylvania,577379.8
Rhode Island,47901.4
South Carolina,159835.6
South Dakota,36193.1
Tennessee,250544.4
Texas,1163401.3
Utah,113332.9
Vermont,25867.8
Virginia,408918.7
Washington,353632
West Virginia,62957.8
Wisconsin,245539
Wyoming,36042.2
