"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2010",44.374836,
"AUT","EDUTRY","25_34","PC_AGE","A","2010",33.863789,
"BEL","EDUTRY","25_34","PC_AGE","A","2010",43.801159,
"CAN","EDUTRY","25_34","PC_AGE","A","2010",56.169838,
"CZE","EDUTRY","25_34","PC_AGE","A","2010",22.630354,
"DNK","EDUTRY","25_34","PC_AGE","A","2010",37.582073,
"FIN","EDUTRY","25_34","PC_AGE","A","2010",39.207012,
"FRA","EDUTRY","25_34","PC_AGE","A","2010",42.87175,
"DEU","EDUTRY","25_34","PC_AGE","A","2010",26.133959,
"GRC","EDUTRY","25_34","PC_AGE","A","2010",31.15996,
"HUN","EDUTRY","25_34","PC_AGE","A","2010",26.019491,
"ISL","EDUTRY","25_34","PC_AGE","A","2010",36.221165,
"IRL","EDUTRY","25_34","PC_AGE","A","2010",48.32497,
"ITA","EDUTRY","25_34","PC_AGE","A","2010",20.719744,
"JPN","EDUTRY","25_34","PC_AGE","A","2010",56.70573,
"KOR","EDUTRY","25_34","PC_AGE","A","2010",61.449047,
"LUX","EDUTRY","25_34","PC_AGE","A","2010",44.22842,
"MEX","EDUTRY","25_34","PC_AGE","A","2010",17.700443,
"NLD","EDUTRY","25_34","PC_AGE","A","2010",40.803711,
"NOR","EDUTRY","25_34","PC_AGE","A","2010",47.255039,
"POL","EDUTRY","25_34","PC_AGE","A","2010",37.126976,
"PRT","EDUTRY","25_34","PC_AGE","A","2010",24.804928,
"SVK","EDUTRY","25_34","PC_AGE","A","2010",24.029381,
"ESP","EDUTRY","25_34","PC_AGE","A","2010",40.312317,
"SWE","EDUTRY","25_34","PC_AGE","A","2010",42.23127,
"CHE","EDUTRY","25_34","PC_AGE","A","2010",37.405544,
"TUR","EDUTRY","25_34","PC_AGE","A","2010",17.447386,
"GBR","EDUTRY","25_34","PC_AGE","A","2010",46.046906,
"USA","EDUTRY","25_34","PC_AGE","A","2010",42.310982,
"CHN","EDUTRY","25_34","PC_AGE","A","2010",17.948812,
"EST","EDUTRY","25_34","PC_AGE","A","2010",38.010132,
"IDN","EDUTRY","25_34","PC_AGE","A","2010",9.6603518,
"ISR","EDUTRY","25_34","PC_AGE","A","2010",44.216198,
"RUS","EDUTRY","25_34","PC_AGE","A","2010",52.537052,
"SVN","EDUTRY","25_34","PC_AGE","A","2010",31.307655,
"ZAF","EDUTRY","25_34","PC_AGE","A","2010",3.5694432,
"OAVG","EDUTRY","25_34","PC_AGE","A","2010",37.749624,
"LVA","EDUTRY","25_34","PC_AGE","A","2010",34.697613,
"LTU","EDUTRY","25_34","PC_AGE","A","2010",46.317448,
"CRI","EDUTRY","25_34","PC_AGE","A","2010",26.131706,
"G20","EDUTRY","25_34","PC_AGE","A","2010",34.376419,
