LOCATION,pro
AUS,1.636934
AUT,1.512727
BEL,2.239517
CAN,1.104579
CZE,2.151721
DNK,3.913558
FIN,3.263344
FRA,1.294486
DEU,2.473452
GRC,-0.036731
HUN,12.418487
ISL,-1.673984
IRL,13.835313
ITA,2.249797
JPN,3.266549
KOR,5.651881
LUX,2.984841
MEX,-4.976184
NLD,2.125444
NZL,-0.962644
NOR,0.555446
POL,6.702097
PRT,3.224891
SVK,5.189725
ESP,2.334824
SWE,3.32061
CHE,2.603072
TUR,2.576706
GBR,2.161159
USA,2.826063
CHL,-3.379744
EST,5.134026
ISR,2.772615
RUS,3.652397
SVN,3.340944
OECD,1.763118
EU28,3.066772
G-7,2.512382
LVA,3.824906
LTU,6.109559
EA19,2.613358
ZAF,6.716334
CRI,11.249425
BGR,5.504351
HRV,1.642673
PER,7.312438
ROU,-2.170936
