LOCATION,rad
AUS,2.186012209
AUT,2.726100573
BEL,2.050805189
CAN,1.829580117
CZE,1.336884515
DNK,2.917065634
FIN,3.725975788
FRA,2.178573219
DEU,2.713665868
GRC,0.598376915
HUN,1.13944929
IRL,1.592942552
ITA,1.223105182
JPN,3.137075378
KOR,3.465941437
LUX,1.502570623
MEX,0.532994246
NLD,1.72474949
NOR,1.648550606
POL,0.720695663
PRT,1.53257249
SVK,0.616137037
ESP,1.349614454
SWE,3.216113437
TUR,0.798920511
GBR,1.668610911
USA,2.74046248
ARG,0.564050123
CHL,0.329474896
CHN,1.709941619
EST,1.581619791
ISR,3.941894578
ROU,0.455694847
RUS,1.049290984
SGP,2.012969931
SVN,2.057633024
ZAF,0.737035791
TWN,2.803519801
EU28,1.835869884
OECD,2.28627724
LVA,0.610780616
